#    L    TT             EE             TE             PP             TP          
    75   0.198920E+04   0.395605E+00  -0.808457E+01   0.537419E+07   0.857805E+04
    76   0.201495E+04   0.409787E+00  -0.859303E+01   0.534494E+07   0.845434E+04
    77   0.204082E+04   0.424134E+00  -0.911173E+01   0.531562E+07   0.833255E+04
    78   0.206682E+04   0.438641E+00  -0.964036E+01   0.528624E+07   0.821294E+04
    79   0.209302E+04   0.453299E+00  -0.101789E+02   0.525683E+07   0.809573E+04
    80   0.211946E+04   0.468104E+00  -0.107274E+02   0.522741E+07   0.798116E+04
    81   0.214617E+04   0.483047E+00  -0.112859E+02   0.519799E+07   0.786945E+04
    82   0.217318E+04   0.498113E+00  -0.118538E+02   0.516859E+07   0.776065E+04
    83   0.220046E+04   0.513286E+00  -0.124307E+02   0.513920E+07   0.765481E+04
    84   0.222801E+04   0.528550E+00  -0.130162E+02   0.510982E+07   0.755196E+04
    85   0.225582E+04   0.543887E+00  -0.136098E+02   0.508047E+07   0.745214E+04
    86   0.228389E+04   0.559284E+00  -0.142110E+02   0.505116E+07   0.735533E+04
    87   0.231218E+04   0.574728E+00  -0.148193E+02   0.502188E+07   0.726127E+04
    88   0.234067E+04   0.590211E+00  -0.154342E+02   0.499266E+07   0.716965E+04
    89   0.236936E+04   0.605721E+00  -0.160552E+02   0.496350E+07   0.708016E+04
    90   0.239826E+04   0.621245E+00  -0.166821E+02   0.493443E+07   0.699249E+04
    91   0.242736E+04   0.636772E+00  -0.173143E+02   0.490546E+07   0.690637E+04
    92   0.245667E+04   0.652286E+00  -0.179517E+02   0.487659E+07   0.682174E+04
    93   0.248621E+04   0.667773E+00  -0.185936E+02   0.484782E+07   0.673857E+04
    94   0.251596E+04   0.683220E+00  -0.192400E+02   0.481917E+07   0.665685E+04
    95   0.254595E+04   0.698612E+00  -0.198903E+02   0.479062E+07   0.657655E+04
    96   0.257615E+04   0.713935E+00  -0.205439E+02   0.476219E+07   0.649764E+04
    97   0.260658E+04   0.729173E+00  -0.212005E+02   0.473387E+07   0.642012E+04
    98   0.263724E+04   0.744310E+00  -0.218596E+02   0.470568E+07   0.634396E+04
    99   0.266810E+04   0.759333E+00  -0.225207E+02   0.467761E+07   0.626913E+04
   100   0.269919E+04   0.774230E+00  -0.231833E+02   0.464967E+07   0.619563E+04
   101   0.273050E+04   0.788986E+00  -0.238468E+02   0.462187E+07   0.612341E+04
   102   0.276201E+04   0.803578E+00  -0.245110E+02   0.459419E+07   0.605247E+04
   103   0.279373E+04   0.818007E+00  -0.251750E+02   0.456666E+07   0.598279E+04
   104   0.282564E+04   0.832242E+00  -0.258384E+02   0.453927E+07   0.591434E+04
   105   0.285775E+04   0.846276E+00  -0.265006E+02   0.451203E+07   0.584710E+04
   106   0.289004E+04   0.860094E+00  -0.271611E+02   0.448493E+07   0.578105E+04
   107   0.292251E+04   0.873689E+00  -0.278192E+02   0.445799E+07   0.571617E+04
   108   0.295514E+04   0.887038E+00  -0.284745E+02   0.443120E+07   0.565244E+04
   109   0.298793E+04   0.900134E+00  -0.291262E+02   0.440457E+07   0.558983E+04
   110   0.302088E+04   0.912955E+00  -0.297739E+02   0.437810E+07   0.552833E+04
   111   0.305398E+04   0.925492E+00  -0.304171E+02   0.435180E+07   0.546792E+04
   112   0.308722E+04   0.937739E+00  -0.310550E+02   0.432567E+07   0.540857E+04
   113   0.312060E+04   0.949674E+00  -0.316873E+02   0.429970E+07   0.535026E+04
   114   0.315411E+04   0.961280E+00  -0.323133E+02   0.427390E+07   0.529297E+04
   115   0.318775E+04   0.972560E+00  -0.329325E+02   0.424827E+07   0.523669E+04
   116   0.322150E+04   0.983497E+00  -0.335443E+02   0.422281E+07   0.518137E+04
   117   0.325538E+04   0.994069E+00  -0.341482E+02   0.419752E+07   0.512702E+04
   118   0.328935E+04   0.100428E+01  -0.347436E+02   0.417239E+07   0.507360E+04
   119   0.332343E+04   0.101410E+01  -0.353300E+02   0.414744E+07   0.502109E+04
   120   0.335759E+04   0.102355E+01  -0.359068E+02   0.412265E+07   0.496947E+04
   121   0.339185E+04   0.103259E+01  -0.364735E+02   0.409804E+07   0.491872E+04
   122   0.342617E+04   0.104122E+01  -0.370296E+02   0.407360E+07   0.486881E+04
   123   0.346056E+04   0.104943E+01  -0.375745E+02   0.404933E+07   0.481974E+04
   124   0.349502E+04   0.105721E+01  -0.381076E+02   0.402523E+07   0.477146E+04
   125   0.352952E+04   0.106457E+01  -0.386285E+02   0.400131E+07   0.472397E+04
   126   0.356408E+04   0.107147E+01  -0.391366E+02   0.397756E+07   0.467724E+04
   127   0.359866E+04   0.107793E+01  -0.396314E+02   0.395398E+07   0.463125E+04
   128   0.363327E+04   0.108393E+01  -0.401124E+02   0.393058E+07   0.458598E+04
   129   0.366791E+04   0.108946E+01  -0.405792E+02   0.390736E+07   0.454140E+04
   130   0.370256E+04   0.109453E+01  -0.410310E+02   0.388430E+07   0.449750E+04
   131   0.373720E+04   0.109911E+01  -0.414675E+02   0.386143E+07   0.445425E+04
   132   0.377184E+04   0.110322E+01  -0.418881E+02   0.383873E+07   0.441164E+04
   133   0.380647E+04   0.110684E+01  -0.422924E+02   0.381620E+07   0.436966E+04
   134   0.384108E+04   0.110998E+01  -0.426799E+02   0.379385E+07   0.432829E+04
   135   0.387566E+04   0.111263E+01  -0.430502E+02   0.377167E+07   0.428753E+04
   136   0.391020E+04   0.111478E+01  -0.434026E+02   0.374966E+07   0.424736E+04
   137   0.394470E+04   0.111644E+01  -0.437367E+02   0.372782E+07   0.420776E+04
   138   0.397915E+04   0.111761E+01  -0.440522E+02   0.370615E+07   0.416873E+04
   139   0.401354E+04   0.111828E+01  -0.443485E+02   0.368464E+07   0.413025E+04
