#    L    TT             EE             TE             PP             TP          
   620   0.205033E+04   0.259861E+02   0.225871E+02   0.651756E+06   0.108913E+03
   621   0.204169E+04   0.262936E+02   0.217601E+02   0.650176E+06   0.109946E+03
   622   0.203314E+04   0.265997E+02   0.209019E+02   0.648603E+06   0.111007E+03
   623   0.202467E+04   0.269044E+02   0.200127E+02   0.647036E+06   0.112094E+03
   624   0.201630E+04   0.272076E+02   0.190930E+02   0.645475E+06   0.113206E+03
   625   0.200802E+04   0.275091E+02   0.181428E+02   0.643920E+06   0.114342E+03
   626   0.199985E+04   0.278088E+02   0.171627E+02   0.642371E+06   0.115500E+03
   627   0.199177E+04   0.281065E+02   0.161528E+02   0.640828E+06   0.116677E+03
   628   0.198381E+04   0.284021E+02   0.151136E+02   0.639291E+06   0.117873E+03
   629   0.197596E+04   0.286956E+02   0.140454E+02   0.637760E+06   0.119086E+03
   630   0.196823E+04   0.289869E+02   0.129487E+02   0.636235E+06   0.120314E+03
   631   0.196061E+04   0.292756E+02   0.118239E+02   0.634716E+06   0.121555E+03
   632   0.195312E+04   0.295619E+02   0.106715E+02   0.633203E+06   0.122809E+03
   633   0.194575E+04   0.298455E+02   0.949178E+01   0.631695E+06   0.124072E+03
   634   0.193852E+04   0.301262E+02   0.828525E+01   0.630193E+06   0.125344E+03
   635   0.193141E+04   0.304042E+02   0.705240E+01   0.628697E+06   0.126624E+03
   636   0.192445E+04   0.306791E+02   0.579372E+01   0.627207E+06   0.127908E+03
   637   0.191763E+04   0.309510E+02   0.450970E+01   0.625722E+06   0.129196E+03
   638   0.191096E+04   0.312195E+02   0.320087E+01   0.624243E+06   0.130487E+03
   639   0.190443E+04   0.314849E+02   0.186770E+01   0.622769E+06   0.131777E+03
   640   0.189804E+04   0.317467E+02   0.510720E+00   0.621302E+06   0.133067E+03
   641   0.189182E+04   0.320050E+02  -0.869564E+00   0.619839E+06   0.134354E+03
   642   0.188574E+04   0.322596E+02  -0.227257E+01   0.618382E+06   0.135636E+03
   643   0.187984E+04   0.325106E+02  -0.369770E+01   0.616931E+06   0.136912E+03
   644   0.187408E+04   0.327576E+02  -0.514437E+01   0.615485E+06   0.138181E+03
   645   0.186849E+04   0.330006E+02  -0.661199E+01   0.614044E+06   0.139440E+03
   646   0.186308E+04   0.332394E+02  -0.809996E+01   0.612609E+06   0.140688E+03
   647   0.185783E+04   0.334741E+02  -0.960762E+01   0.611179E+06   0.141924E+03
   648   0.185275E+04   0.337043E+02  -0.111345E+02   0.609755E+06   0.143145E+03
   649   0.184784E+04   0.339302E+02  -0.126798E+02   0.608335E+06   0.144350E+03
   650   0.184311E+04   0.341515E+02  -0.142430E+02   0.606921E+06   0.145538E+03
   651   0.183856E+04   0.343684E+02  -0.158234E+02   0.605512E+06   0.146707E+03
   652   0.183418E+04   0.345806E+02  -0.174202E+02   0.604109E+06   0.147857E+03
   653   0.182999E+04   0.347881E+02  -0.190329E+02   0.602710E+06   0.148989E+03
   654   0.182599E+04   0.349909E+02  -0.206609E+02   0.601317E+06   0.150102E+03
   655   0.182218E+04   0.351888E+02  -0.223034E+02   0.599929E+06   0.151197E+03
   656   0.181855E+04   0.353818E+02  -0.239596E+02   0.598545E+06   0.152274E+03
   657   0.181511E+04   0.355699E+02  -0.256290E+02   0.597167E+06   0.153334E+03
   658   0.181186E+04   0.357529E+02  -0.273108E+02   0.595794E+06   0.154376E+03
   659   0.180881E+04   0.359308E+02  -0.290043E+02   0.594426E+06   0.155402E+03
   660   0.180595E+04   0.361034E+02  -0.307088E+02   0.593063E+06   0.156410E+03
   661   0.180329E+04   0.362707E+02  -0.324235E+02   0.591705E+06   0.157403E+03
   662   0.180082E+04   0.364326E+02  -0.341477E+02   0.590352E+06   0.158379E+03
   663   0.179855E+04   0.365890E+02  -0.358808E+02   0.589004E+06   0.159339E+03
   664   0.179648E+04   0.367399E+02  -0.376218E+02   0.587661E+06   0.160283E+03
   665   0.179460E+04   0.368852E+02  -0.393702E+02   0.586322E+06   0.161212E+03
   666   0.179293E+04   0.370248E+02  -0.411251E+02   0.584989E+06   0.162126E+03
   667   0.179145E+04   0.371589E+02  -0.428859E+02   0.583660E+06   0.163025E+03
   668   0.179018E+04   0.372871E+02  -0.446517E+02   0.582337E+06   0.163909E+03
   669   0.178910E+04   0.374094E+02  -0.464218E+02   0.581018E+06   0.164780E+03
   670   0.178823E+04   0.375260E+02  -0.481955E+02   0.579704E+06   0.165636E+03
   671   0.178757E+04   0.376367E+02  -0.499720E+02   0.578394E+06   0.166478E+03
   672   0.178710E+04   0.377414E+02  -0.517506E+02   0.577090E+06   0.167307E+03
   673   0.178683E+04   0.378401E+02  -0.535305E+02   0.575790E+06   0.168123E+03
   674   0.178677E+04   0.379329E+02  -0.553110E+02   0.574494E+06   0.168925E+03
   675   0.178691E+04   0.380195E+02  -0.570913E+02   0.573204E+06   0.169715E+03
   676   0.178725E+04   0.381001E+02  -0.588705E+02   0.571918E+06   0.170493E+03
   677   0.178779E+04   0.381745E+02  -0.606482E+02   0.570637E+06   0.171258E+03
   678   0.178853E+04   0.382427E+02  -0.624232E+02   0.569360E+06   0.172012E+03
   679   0.178947E+04   0.383047E+02  -0.641948E+02   0.568088E+06   0.172754E+03
   680   0.179062E+04   0.383605E+02  -0.659623E+02   0.566821E+06   0.173484E+03
   681   0.179195E+04   0.384098E+02  -0.677248E+02   0.565558E+06   0.174204E+03
   682   0.179348E+04   0.384529E+02  -0.694815E+02   0.564299E+06   0.174913E+03
   683   0.179522E+04   0.384895E+02  -0.712316E+02   0.563045E+06   0.175611E+03
   684   0.179715E+04   0.385197E+02  -0.729744E+02   0.561796E+06   0.176299E+03
   685   0.179927E+04   0.385436E+02  -0.747093E+02   0.560551E+06   0.176977E+03
   686   0.180158E+04   0.385611E+02  -0.764350E+02   0.559311E+06   0.177645E+03
   687   0.180408E+04   0.385724E+02  -0.781519E+02   0.558075E+06   0.178304E+03
   688   0.180678E+04   0.385772E+02  -0.798590E+02   0.556843E+06   0.178953E+03
   689   0.180967E+04   0.385759E+02  -0.815550E+02   0.555616E+06   0.179594E+03
   690   0.181274E+04   0.385684E+02  -0.832390E+02   0.554393E+06   0.180226E+03
   691   0.181600E+04   0.385545E+02  -0.849111E+02   0.553174E+06   0.180850E+03
   692   0.181945E+04   0.385345E+02  -0.865706E+02   0.551960E+06   0.181465E+03
   693   0.182308E+04   0.385082E+02  -0.882167E+02   0.550750E+06   0.182073E+03
   694   0.182689E+04   0.384757E+02  -0.898479E+02   0.549544E+06   0.182673E+03
   695   0.183089E+04   0.384370E+02  -0.914641E+02   0.548342E+06   0.183266E+03
   696   0.183505E+04   0.383920E+02  -0.930641E+02   0.547145E+06   0.183852E+03
   697   0.183939E+04   0.383409E+02  -0.946476E+02   0.545952E+06   0.184431E+03
   698   0.184390E+04   0.382835E+02  -0.962133E+02   0.544763E+06   0.185004E+03
   699   0.184859E+04   0.382200E+02  -0.977611E+02   0.543578E+06   0.185570E+03
   700   0.185344E+04   0.381504E+02  -0.992903E+02   0.542397E+06   0.186130E+03
   701   0.185845E+04   0.380747E+02  -0.100800E+03   0.541221E+06   0.186685E+03
   702   0.186362E+04   0.379929E+02  -0.102290E+03   0.540048E+06   0.187234E+03
   703   0.186896E+04   0.379052E+02  -0.103760E+03   0.538880E+06   0.187777E+03
   704   0.187445E+04   0.378115E+02  -0.105207E+03   0.537716E+06   0.188314E+03
   705   0.188009E+04   0.377119E+02  -0.106633E+03   0.536555E+06   0.188845E+03
   706   0.188589E+04   0.376065E+02  -0.108035E+03   0.535399E+06   0.189369E+03
   707   0.189183E+04   0.374953E+02  -0.109415E+03   0.534247E+06   0.189887E+03
   708   0.189791E+04   0.373782E+02  -0.110772E+03   0.533099E+06   0.190399E+03
   709   0.190415E+04   0.372556E+02  -0.112103E+03   0.531954E+06   0.190903E+03
   710   0.191051E+04   0.371274E+02  -0.113410E+03   0.530814E+06   0.191401E+03
   711   0.191701E+04   0.369936E+02  -0.114691E+03   0.529677E+06   0.191892E+03
   712   0.192365E+04   0.368542E+02  -0.115946E+03   0.528545E+06   0.192376E+03
   713   0.193041E+04   0.367094E+02  -0.117174E+03   0.527416E+06   0.192852E+03
   714   0.193729E+04   0.365593E+02  -0.118374E+03   0.526291E+06   0.193321E+03
   715   0.194430E+04   0.364038E+02  -0.119547E+03   0.525171E+06   0.193783E+03
   716   0.195142E+04   0.362430E+02  -0.120692E+03   0.524053E+06   0.194237E+03
   717   0.195866E+04   0.360768E+02  -0.121807E+03   0.522940E+06   0.194684E+03
   718   0.196600E+04   0.359055E+02  -0.122892E+03   0.521831E+06   0.195122E+03
   719   0.197345E+04   0.357292E+02  -0.123947E+03   0.520725E+06   0.195553E+03
   720   0.198100E+04   0.355478E+02  -0.124972E+03   0.519623E+06   0.195975E+03
   721   0.198865E+04   0.353616E+02  -0.125966E+03   0.518525E+06   0.196389E+03
   722   0.199640E+04   0.351705E+02  -0.126928E+03   0.517430E+06   0.196795E+03
   723   0.200424E+04   0.349749E+02  -0.127860E+03   0.516340E+06   0.197192E+03
   724   0.201217E+04   0.347747E+02  -0.128759E+03   0.515253E+06   0.197580E+03
   725   0.202019E+04   0.345701E+02  -0.129626E+03   0.514169E+06   0.197960E+03
   726   0.202829E+04   0.343611E+02  -0.130461E+03   0.513089E+06   0.198331E+03
   727   0.203648E+04   0.341478E+02  -0.131262E+03   0.512013E+06   0.198693E+03
   728   0.204474E+04   0.339304E+02  -0.132031E+03   0.510941E+06   0.199045E+03
   729   0.205306E+04   0.337089E+02  -0.132764E+03   0.509872E+06   0.199388E+03
   730   0.206146E+04   0.334834E+02  -0.133465E+03   0.508807E+06   0.199722E+03
   731   0.206993E+04   0.332540E+02  -0.134131E+03   0.507745E+06   0.200046E+03
   732   0.207844E+04   0.330207E+02  -0.134761E+03   0.506687E+06   0.200361E+03
   733   0.208702E+04   0.327838E+02  -0.135357E+03   0.505632E+06   0.200666E+03
   734   0.209565E+04   0.325432E+02  -0.135916E+03   0.504581E+06   0.200961E+03
   735   0.210431E+04   0.322992E+02  -0.136440E+03   0.503533E+06   0.201245E+03
   736   0.211303E+04   0.320518E+02  -0.136928E+03   0.502489E+06   0.201520E+03
   737   0.212178E+04   0.318012E+02  -0.137380E+03   0.501448E+06   0.201784E+03
   738   0.213056E+04   0.315474E+02  -0.137795E+03   0.500411E+06   0.202038E+03
   739   0.213937E+04   0.312905E+02  -0.138173E+03   0.499377E+06   0.202281E+03
   740   0.214821E+04   0.310308E+02  -0.138513E+03   0.498346E+06   0.202513E+03
   741   0.215706E+04   0.307683E+02  -0.138816E+03   0.497319E+06   0.202735E+03
   742   0.216592E+04   0.305032E+02  -0.139083E+03   0.496295E+06   0.202945E+03
   743   0.217480E+04   0.302355E+02  -0.139311E+03   0.495275E+06   0.203145E+03
   744   0.218368E+04   0.299655E+02  -0.139502E+03   0.494258E+06   0.203333E+03
   745   0.219256E+04   0.296932E+02  -0.139655E+03   0.493244E+06   0.203510E+03
   746   0.220143E+04   0.294188E+02  -0.139771E+03   0.492233E+06   0.203675E+03
   747   0.221030E+04   0.291424E+02  -0.139848E+03   0.491226E+06   0.203829E+03
   748   0.221915E+04   0.288641E+02  -0.139887E+03   0.490222E+06   0.203971E+03
   749   0.222798E+04   0.285840E+02  -0.139889E+03   0.489221E+06   0.204101E+03
   750   0.223679E+04   0.283023E+02  -0.139852E+03   0.488223E+06   0.204219E+03
   751   0.224557E+04   0.280190E+02  -0.139777E+03   0.487229E+06   0.204325E+03
   752   0.225432E+04   0.277343E+02  -0.139664E+03   0.486238E+06   0.204418E+03
   753   0.226303E+04   0.274483E+02  -0.139513E+03   0.485249E+06   0.204500E+03
   754   0.227171E+04   0.271611E+02  -0.139324E+03   0.484265E+06   0.204570E+03
   755   0.228034E+04   0.268730E+02  -0.139096E+03   0.483283E+06   0.204628E+03
   756   0.228892E+04   0.265840E+02  -0.138831E+03   0.482304E+06   0.204674E+03
   757   0.229746E+04   0.262943E+02  -0.138528E+03   0.481329E+06   0.204708E+03
   758   0.230596E+04   0.260039E+02  -0.138189E+03   0.480356E+06   0.204731E+03
   759   0.231439E+04   0.257132E+02  -0.137812E+03   0.479387E+06   0.204742E+03
   760   0.232277E+04   0.254222E+02  -0.137397E+03   0.478420E+06   0.204742E+03
   761   0.233109E+04   0.251310E+02  -0.136946E+03   0.477457E+06   0.204730E+03
   762   0.233935E+04   0.248398E+02  -0.136457E+03   0.476497E+06   0.204707E+03
   763   0.234753E+04   0.245487E+02  -0.135933E+03   0.475540E+06   0.204673E+03
   764   0.235564E+04   0.242577E+02  -0.135370E+03   0.474586E+06   0.204627E+03
   765   0.236366E+04   0.239671E+02  -0.134771E+03   0.473634E+06   0.204570E+03
   766   0.237160E+04   0.236770E+02  -0.134134E+03   0.472686E+06   0.204502E+03
   767   0.237944E+04   0.233873E+02  -0.133461E+03   0.471741E+06   0.204423E+03
   768   0.238720E+04   0.230983E+02  -0.132750E+03   0.470799E+06   0.204334E+03
   769   0.239484E+04   0.228103E+02  -0.132004E+03   0.469860E+06   0.204233E+03
   770   0.240239E+04   0.225232E+02  -0.131223E+03   0.468923E+06   0.204121E+03
   771   0.240982E+04   0.222372E+02  -0.130405E+03   0.467990E+06   0.203999E+03
   772   0.241714E+04   0.219526E+02  -0.129552E+03   0.467059E+06   0.203866E+03
   773   0.242434E+04   0.216694E+02  -0.128665E+03   0.466132E+06   0.203723E+03
   774   0.243142E+04   0.213878E+02  -0.127744E+03   0.465207E+06   0.203569E+03
   775   0.243837E+04   0.211079E+02  -0.126788E+03   0.464285E+06   0.203404E+03
   776   0.244520E+04   0.208298E+02  -0.125800E+03   0.463366E+06   0.203229E+03
   777   0.245191E+04   0.205537E+02  -0.124779E+03   0.462450E+06   0.203044E+03
   778   0.245849E+04   0.202797E+02  -0.123725E+03   0.461536E+06   0.202849E+03
   779   0.246494E+04   0.200078E+02  -0.122639E+03   0.460626E+06   0.202643E+03
   780   0.247126E+04   0.197383E+02  -0.121523E+03   0.459718E+06   0.202428E+03
   781   0.247746E+04   0.194712E+02  -0.120375E+03   0.458813E+06   0.202202E+03
   782   0.248351E+04   0.192067E+02  -0.119197E+03   0.457911E+06   0.201966E+03
   783   0.248943E+04   0.189448E+02  -0.117988E+03   0.457012E+06   0.201721E+03
   784   0.249520E+04   0.186857E+02  -0.116749E+03   0.456115E+06   0.201466E+03
   785   0.250082E+04   0.184293E+02  -0.115479E+03   0.455221E+06   0.201201E+03
   786   0.250628E+04   0.181760E+02  -0.114180E+03   0.454330E+06   0.200926E+03
   787   0.251158E+04   0.179257E+02  -0.112851E+03   0.453441E+06   0.200642E+03
   788   0.251672E+04   0.176787E+02  -0.111492E+03   0.452556E+06   0.200348E+03
   789   0.252168E+04   0.174349E+02  -0.110104E+03   0.451672E+06   0.200045E+03
   790   0.252647E+04   0.171946E+02  -0.108688E+03   0.450792E+06   0.199732E+03
   791   0.253109E+04   0.169580E+02  -0.107246E+03   0.449914E+06   0.199410E+03
   792   0.253554E+04   0.167251E+02  -0.105777E+03   0.449039E+06   0.199079E+03
   793   0.253981E+04   0.164962E+02  -0.104283E+03   0.448166E+06   0.198739E+03
   794   0.254390E+04   0.162713E+02  -0.102764E+03   0.447296E+06   0.198390E+03
   795   0.254781E+04   0.160506E+02  -0.101223E+03   0.446429E+06   0.198031E+03
   796   0.255153E+04   0.158342E+02  -0.996572E+02   0.445564E+06   0.197664E+03
   797   0.255508E+04   0.156221E+02  -0.980696E+02   0.444702E+06   0.197288E+03
   798   0.255845E+04   0.154143E+02  -0.964598E+02   0.443843E+06   0.196903E+03
   799   0.256163E+04   0.152111E+02  -0.948284E+02   0.442985E+06   0.196509E+03
   800   0.256463E+04   0.150124E+02  -0.931748E+02   0.442131E+06   0.196106E+03
   801   0.256744E+04   0.148182E+02  -0.915012E+02   0.441279E+06   0.195695E+03
   802   0.257008E+04   0.146285E+02  -0.898068E+02   0.440429E+06   0.195276E+03
   803   0.257252E+04   0.144437E+02  -0.880925E+02   0.439582E+06   0.194848E+03
   804   0.257478E+04   0.142636E+02  -0.863595E+02   0.438738E+06   0.194412E+03
   805   0.257683E+04   0.140886E+02  -0.846073E+02   0.437896E+06   0.193967E+03
   806   0.257868E+04   0.139187E+02  -0.828381E+02   0.437056E+06   0.193514E+03
   807   0.258032E+04   0.137539E+02  -0.810503E+02   0.436219E+06   0.193053E+03
   808   0.258175E+04   0.135945E+02  -0.792470E+02   0.435384E+06   0.192584E+03
   809   0.258297E+04   0.134405E+02  -0.774273E+02   0.434552E+06   0.192107E+03
   810   0.258397E+04   0.132921E+02  -0.755921E+02   0.433722E+06   0.191621E+03
   811   0.258475E+04   0.131492E+02  -0.737430E+02   0.432895E+06   0.191128E+03
   812   0.258534E+04   0.130118E+02  -0.718806E+02   0.432070E+06   0.190627E+03
   813   0.258572E+04   0.128800E+02  -0.700059E+02   0.431247E+06   0.190119E+03
   814   0.258589E+04   0.127539E+02  -0.681198E+02   0.430427E+06   0.189603E+03
   815   0.258588E+04   0.126335E+02  -0.662232E+02   0.429609E+06   0.189079E+03
   816   0.258567E+04   0.125188E+02  -0.643170E+02   0.428794E+06   0.188547E+03
   817   0.258526E+04   0.124099E+02  -0.624017E+02   0.427981E+06   0.188008E+03
   818   0.258465E+04   0.123069E+02  -0.604775E+02   0.427170E+06   0.187462E+03
   819   0.258383E+04   0.122098E+02  -0.585449E+02   0.426361E+06   0.186908E+03
   820   0.258279E+04   0.121188E+02  -0.566043E+02   0.425555E+06   0.186348E+03
   821   0.258154E+04   0.120337E+02  -0.546560E+02   0.424752E+06   0.185780E+03
   822   0.258006E+04   0.119549E+02  -0.527005E+02   0.423950E+06   0.185204E+03
   823   0.257835E+04   0.118822E+02  -0.507381E+02   0.423151E+06   0.184622E+03
   824   0.257642E+04   0.118157E+02  -0.487700E+02   0.422354E+06   0.184033E+03
   825   0.257427E+04   0.117555E+02  -0.467974E+02   0.421560E+06   0.183437E+03
   826   0.257190E+04   0.117016E+02  -0.448213E+02   0.420767E+06   0.182834E+03
   827   0.256933E+04   0.116540E+02  -0.428430E+02   0.419977E+06   0.182224E+03
   828   0.256655E+04   0.116126E+02  -0.408636E+02   0.419189E+06   0.181608E+03
   829   0.256358E+04   0.115776E+02  -0.388843E+02   0.418404E+06   0.180985E+03
   830   0.256042E+04   0.115489E+02  -0.369062E+02   0.417620E+06   0.180355E+03
   831   0.255706E+04   0.115266E+02  -0.349296E+02   0.416839E+06   0.179719E+03
   832   0.255350E+04   0.115106E+02  -0.329550E+02   0.416060E+06   0.179077E+03
   833   0.254973E+04   0.115011E+02  -0.309826E+02   0.415284E+06   0.178428E+03
   834   0.254577E+04   0.114981E+02  -0.290129E+02   0.414509E+06   0.177773E+03
   835   0.254158E+04   0.115015E+02  -0.270463E+02   0.413737E+06   0.177112E+03
   836   0.253718E+04   0.115115E+02  -0.250830E+02   0.412967E+06   0.176445E+03
   837   0.253256E+04   0.115280E+02  -0.231236E+02   0.412199E+06   0.175771E+03
   838   0.252773E+04   0.115510E+02  -0.211688E+02   0.411433E+06   0.175092E+03
   839   0.252268E+04   0.115805E+02  -0.192198E+02   0.410669E+06   0.174406E+03
   840   0.251743E+04   0.116164E+02  -0.172774E+02   0.409908E+06   0.173715E+03
   841   0.251199E+04   0.116587E+02  -0.153428E+02   0.409148E+06   0.173018E+03
   842   0.250635E+04   0.117075E+02  -0.134168E+02   0.408391E+06   0.172316E+03
   843   0.250052E+04   0.117625E+02  -0.115005E+02   0.407636E+06   0.171607E+03
   844   0.249452E+04   0.118237E+02  -0.959486E+01   0.406882E+06   0.170894E+03
   845   0.248832E+04   0.118913E+02  -0.770040E+01   0.406131E+06   0.170174E+03
   846   0.248195E+04   0.119651E+02  -0.581783E+01   0.405382E+06   0.169449E+03
   847   0.247539E+04   0.120454E+02  -0.394762E+01   0.404635E+06   0.168719E+03
   848   0.246863E+04   0.121319E+02  -0.209039E+01   0.403891E+06   0.167984E+03
   849   0.246169E+04   0.122249E+02  -0.246681E+00   0.403148E+06   0.167243E+03
   850   0.245454E+04   0.123242E+02   0.158292E+01   0.402407E+06   0.166498E+03
   851   0.244721E+04   0.124299E+02   0.339787E+01   0.401668E+06   0.165747E+03
   852   0.243969E+04   0.125419E+02   0.519763E+01   0.400931E+06   0.164991E+03
   853   0.243198E+04   0.126602E+02   0.698171E+01   0.400197E+06   0.164230E+03
   854   0.242409E+04   0.127845E+02   0.874960E+01   0.399464E+06   0.163465E+03
   855   0.241603E+04   0.129148E+02   0.105008E+02   0.398733E+06   0.162694E+03
   856   0.240779E+04   0.130511E+02   0.122348E+02   0.398004E+06   0.161920E+03
   857   0.239940E+04   0.131931E+02   0.139510E+02   0.397278E+06   0.161140E+03
   858   0.239085E+04   0.133408E+02   0.156490E+02   0.396553E+06   0.160356E+03
   859   0.238215E+04   0.134942E+02   0.173279E+02   0.395830E+06   0.159568E+03
   860   0.237329E+04   0.136533E+02   0.189868E+02   0.395109E+06   0.158776E+03
   861   0.236428E+04   0.138181E+02   0.206249E+02   0.394390E+06   0.157979E+03
   862   0.235512E+04   0.139884E+02   0.222413E+02   0.393673E+06   0.157178E+03
   863   0.234581E+04   0.141644E+02   0.238352E+02   0.392958E+06   0.156373E+03
   864   0.233636E+04   0.143460E+02   0.254056E+02   0.392245E+06   0.155564E+03
   865   0.232676E+04   0.145332E+02   0.269518E+02   0.391534E+06   0.154752E+03
   866   0.231702E+04   0.147258E+02   0.284735E+02   0.390824E+06   0.153935E+03
   867   0.230714E+04   0.149238E+02   0.299706E+02   0.390117E+06   0.153115E+03
   868   0.229711E+04   0.151272E+02   0.314429E+02   0.389411E+06   0.152292E+03
   869   0.228695E+04   0.153357E+02   0.328902E+02   0.388708E+06   0.151465E+03
   870   0.227665E+04   0.155494E+02   0.343124E+02   0.388006E+06   0.150634E+03
   871   0.226622E+04   0.157681E+02   0.357093E+02   0.387306E+06   0.149800E+03
   872   0.225566E+04   0.159916E+02   0.370807E+02   0.386608E+06   0.148963E+03
   873   0.224497E+04   0.162199E+02   0.384260E+02   0.385912E+06   0.148123E+03
   874   0.223416E+04   0.164530E+02   0.397447E+02   0.385218E+06   0.147280E+03
   875   0.222323E+04   0.166907E+02   0.410363E+02   0.384526E+06   0.146434E+03
   876   0.221219E+04   0.169328E+02   0.423002E+02   0.383835E+06   0.145585E+03
   877   0.220103E+04   0.171792E+02   0.435358E+02   0.383147E+06   0.144733E+03
   878   0.218979E+04   0.174298E+02   0.447426E+02   0.382460E+06   0.143878E+03
   879   0.217845E+04   0.176846E+02   0.459199E+02   0.381775E+06   0.143021E+03
   880   0.216701E+04   0.179434E+02   0.470674E+02   0.381091E+06   0.142161E+03
   881   0.215548E+04   0.182061E+02   0.481845E+02   0.380410E+06   0.141299E+03
   882   0.214387E+04   0.184727E+02   0.492708E+02   0.379730E+06   0.140434E+03
   883   0.213217E+04   0.187431E+02   0.503256E+02   0.379053E+06   0.139568E+03
   884   0.212038E+04   0.190172E+02   0.513487E+02   0.378377E+06   0.138699E+03
   885   0.210851E+04   0.192950E+02   0.523393E+02   0.377702E+06   0.137828E+03
   886   0.209655E+04   0.195762E+02   0.532972E+02   0.377030E+06   0.136955E+03
   887   0.208452E+04   0.198610E+02   0.542222E+02   0.376359E+06   0.136080E+03
   888   0.207242E+04   0.201490E+02   0.551142E+02   0.375690E+06   0.135203E+03
   889   0.206023E+04   0.204402E+02   0.559733E+02   0.375023E+06   0.134324E+03
   890   0.204799E+04   0.207345E+02   0.567993E+02   0.374358E+06   0.133444E+03
   891   0.203568E+04   0.210317E+02   0.575922E+02   0.373694E+06   0.132562E+03
   892   0.202332E+04   0.213318E+02   0.583519E+02   0.373032E+06   0.131679E+03
   893   0.201089E+04   0.216346E+02   0.590784E+02   0.372372E+06   0.130795E+03
   894   0.199842E+04   0.219398E+02   0.597715E+02   0.371713E+06   0.129909E+03
   895   0.198589E+04   0.222476E+02   0.604311E+02   0.371056E+06   0.129022E+03
   896   0.197332E+04   0.225576E+02   0.610571E+02   0.370401E+06   0.128133E+03
   897   0.196071E+04   0.228697E+02   0.616494E+02   0.369748E+06   0.127244E+03
   898   0.194806E+04   0.231838E+02   0.622076E+02   0.369096E+06   0.126354E+03
   899   0.193538E+04   0.234998E+02   0.627319E+02   0.368446E+06   0.125463E+03
   900   0.192267E+04   0.238174E+02   0.632219E+02   0.367798E+06   0.124571E+03
   901   0.190993E+04   0.241366E+02   0.636776E+02   0.367151E+06   0.123679E+03
   902   0.189718E+04   0.244572E+02   0.640990E+02   0.366506E+06   0.122786E+03
   903   0.188441E+04   0.247792E+02   0.644857E+02   0.365863E+06   0.121892E+03
   904   0.187163E+04   0.251023E+02   0.648378E+02   0.365221E+06   0.120998E+03
   905   0.185884E+04   0.254265E+02   0.651552E+02   0.364581E+06   0.120103E+03
   906   0.184605E+04   0.257517E+02   0.654377E+02   0.363942E+06   0.119208E+03
   907   0.183326E+04   0.260776E+02   0.656851E+02   0.363306E+06   0.118313E+03
   908   0.182047E+04   0.264042E+02   0.658977E+02   0.362671E+06   0.117418E+03
   909   0.180769E+04   0.267315E+02   0.660754E+02   0.362037E+06   0.116522E+03
   910   0.179492E+04   0.270592E+02   0.662183E+02   0.361405E+06   0.115627E+03
   911   0.178216E+04   0.273871E+02   0.663264E+02   0.360775E+06   0.114731E+03
   912   0.176942E+04   0.277153E+02   0.663999E+02   0.360146E+06   0.113836E+03
   913   0.175671E+04   0.280437E+02   0.664387E+02   0.359519E+06   0.112940E+03
   914   0.174402E+04   0.283719E+02   0.664430E+02   0.358894E+06   0.112045E+03
   915   0.173135E+04   0.287000E+02   0.664128E+02   0.358270E+06   0.111150E+03
   916   0.171872E+04   0.290279E+02   0.663483E+02   0.357647E+06   0.110256E+03
   917   0.170612E+04   0.293553E+02   0.662495E+02   0.357027E+06   0.109361E+03
   918   0.169355E+04   0.296821E+02   0.661168E+02   0.356408E+06   0.108468E+03
   919   0.168103E+04   0.300082E+02   0.659500E+02   0.355790E+06   0.107575E+03
   920   0.166854E+04   0.303334E+02   0.657493E+02   0.355174E+06   0.106682E+03
   921   0.165610E+04   0.306576E+02   0.655150E+02   0.354560E+06   0.105790E+03
   922   0.164371E+04   0.309807E+02   0.652473E+02   0.353947E+06   0.104899E+03
   923   0.163138E+04   0.313025E+02   0.649466E+02   0.353335E+06   0.104009E+03
   924   0.161909E+04   0.316231E+02   0.646131E+02   0.352726E+06   0.103120E+03
   925   0.160687E+04   0.319420E+02   0.642471E+02   0.352118E+06   0.102231E+03
   926   0.159471E+04   0.322594E+02   0.638492E+02   0.351511E+06   0.101344E+03
   927   0.158262E+04   0.325751E+02   0.634195E+02   0.350906E+06   0.100458E+03
   928   0.157060E+04   0.328889E+02   0.629584E+02   0.350302E+06   0.995728E+02
   929   0.155865E+04   0.332007E+02   0.624663E+02   0.349700E+06   0.986889E+02
   930   0.154678E+04   0.335103E+02   0.619432E+02   0.349100E+06   0.978064E+02
   931   0.153499E+04   0.338177E+02   0.613896E+02   0.348500E+06   0.969252E+02
   932   0.152328E+04   0.341228E+02   0.608056E+02   0.347903E+06   0.960455E+02
   933   0.151166E+04   0.344254E+02   0.601917E+02   0.347307E+06   0.951673E+02
   934   0.150012E+04   0.347252E+02   0.595479E+02   0.346712E+06   0.942906E+02
   935   0.148868E+04   0.350222E+02   0.588747E+02   0.346119E+06   0.934156E+02
   936   0.147732E+04   0.353163E+02   0.581723E+02   0.345528E+06   0.925423E+02
   937   0.146606E+04   0.356074E+02   0.574412E+02   0.344938E+06   0.916708E+02
   938   0.145490E+04   0.358954E+02   0.566817E+02   0.344349E+06   0.908011E+02
   939   0.144384E+04   0.361801E+02   0.558942E+02   0.343762E+06   0.899334E+02
