#    L    TT             EE             BB             TE          
    90   0.134402E+03   0.950259E-01   0.658325E-01  -0.277130E+01
    91   0.130528E+03   0.955495E-01   0.657617E-01  -0.274765E+01
    92   0.126708E+03   0.960378E-01   0.656603E-01  -0.272254E+01
    93   0.122945E+03   0.964908E-01   0.655290E-01  -0.269604E+01
    94   0.119237E+03   0.969082E-01   0.653684E-01  -0.266820E+01
    95   0.115588E+03   0.972900E-01   0.651793E-01  -0.263905E+01
    96   0.111996E+03   0.976358E-01   0.649622E-01  -0.260865E+01
    97   0.108463E+03   0.979455E-01   0.647179E-01  -0.257705E+01
    98   0.104989E+03   0.982190E-01   0.644469E-01  -0.254430E+01
    99   0.101575E+03   0.984562E-01   0.641499E-01  -0.251044E+01
   100   0.982214E+02   0.986567E-01   0.638276E-01  -0.247553E+01
   101   0.949293E+02   0.988205E-01   0.634806E-01  -0.243961E+01
   102   0.916992E+02   0.989473E-01   0.631096E-01  -0.240273E+01
   103   0.885318E+02   0.990371E-01   0.627152E-01  -0.236495E+01
   104   0.854276E+02   0.990896E-01   0.622981E-01  -0.232630E+01
   105   0.823874E+02   0.991047E-01   0.618589E-01  -0.228684E+01
   106   0.794119E+02   0.990821E-01   0.613984E-01  -0.224662E+01
   107   0.765018E+02   0.990218E-01   0.609170E-01  -0.220568E+01
   108   0.736576E+02   0.989235E-01   0.604156E-01  -0.216408E+01
   109   0.708801E+02   0.987871E-01   0.598947E-01  -0.212186E+01
   110   0.681700E+02   0.986124E-01   0.593550E-01  -0.207907E+01
   111   0.655277E+02   0.983994E-01   0.587972E-01  -0.203577E+01
   112   0.629528E+02   0.981486E-01   0.582220E-01  -0.199199E+01
   113   0.604449E+02   0.978608E-01   0.576303E-01  -0.194779E+01
   114   0.580033E+02   0.975367E-01   0.570228E-01  -0.190321E+01
   115   0.556276E+02   0.971769E-01   0.564003E-01  -0.185831E+01
   116   0.533171E+02   0.967822E-01   0.557637E-01  -0.181313E+01
   117   0.510713E+02   0.963533E-01   0.551136E-01  -0.176771E+01
   118   0.488897E+02   0.958909E-01   0.544510E-01  -0.172212E+01
   119   0.467717E+02   0.953958E-01   0.537766E-01  -0.167639E+01
   120   0.447168E+02   0.948686E-01   0.530912E-01  -0.163057E+01
   121   0.427244E+02   0.943100E-01   0.523956E-01  -0.158471E+01
   122   0.407939E+02   0.937208E-01   0.516906E-01  -0.153886E+01
   123   0.389248E+02   0.931016E-01   0.509770E-01  -0.149307E+01
   124   0.371166E+02   0.924533E-01   0.502556E-01  -0.144739E+01
   125   0.353687E+02   0.917764E-01   0.495271E-01  -0.140186E+01
   126   0.336805E+02   0.910717E-01   0.487924E-01  -0.135653E+01
   127   0.320515E+02   0.903400E-01   0.480523E-01  -0.131145E+01
   128   0.304812E+02   0.895819E-01   0.473076E-01  -0.126666E+01
   129   0.289690E+02   0.887981E-01   0.465590E-01  -0.122222E+01
   130   0.275143E+02   0.879893E-01   0.458073E-01  -0.117818E+01
   131   0.261165E+02   0.871564E-01   0.450534E-01  -0.113457E+01
   132   0.247746E+02   0.863001E-01   0.442978E-01  -0.109142E+01
   133   0.234875E+02   0.854215E-01   0.435411E-01  -0.104876E+01
   134   0.222540E+02   0.845214E-01   0.427841E-01  -0.100661E+01
   135   0.210730E+02   0.836009E-01   0.420272E-01  -0.964982E+00
   136   0.199435E+02   0.826608E-01   0.412712E-01  -0.923905E+00
   137   0.188643E+02   0.817021E-01   0.405165E-01  -0.883399E+00
   138   0.178343E+02   0.807257E-01   0.397639E-01  -0.843485E+00
   139   0.168524E+02   0.797325E-01   0.390139E-01  -0.804185E+00
   140   0.159175E+02   0.787236E-01   0.382672E-01  -0.765520E+00
   141   0.150285E+02   0.776998E-01   0.375243E-01  -0.727513E+00
   142   0.141842E+02   0.766620E-01   0.367859E-01  -0.690185E+00
   143   0.133835E+02   0.756113E-01   0.360525E-01  -0.653557E+00
   144   0.126254E+02   0.745485E-01   0.353249E-01  -0.617650E+00
   145   0.119087E+02   0.734746E-01   0.346035E-01  -0.582488E+00
   146   0.112323E+02   0.723904E-01   0.338891E-01  -0.548090E+00
   147   0.105951E+02   0.712971E-01   0.331822E-01  -0.514479E+00
   148   0.999598E+01   0.701954E-01   0.324834E-01  -0.481676E+00
   149   0.943383E+01   0.690864E-01   0.317934E-01  -0.449703E+00
   150   0.890754E+01   0.679709E-01   0.311127E-01  -0.418582E+00
   151   0.841601E+01   0.668499E-01   0.304419E-01  -0.388329E+00
   152   0.795821E+01   0.657242E-01   0.297813E-01  -0.358946E+00
   153   0.753312E+01   0.645947E-01   0.291310E-01  -0.330431E+00
   154   0.713973E+01   0.634622E-01   0.284912E-01  -0.302780E+00
   155   0.677703E+01   0.623275E-01   0.278621E-01  -0.275990E+00
   156   0.644398E+01   0.611914E-01   0.272440E-01  -0.250060E+00
   157   0.613959E+01   0.600547E-01   0.266369E-01  -0.224985E+00
   158   0.586283E+01   0.589184E-01   0.260410E-01  -0.200763E+00
   159   0.561269E+01   0.577831E-01   0.254566E-01  -0.177391E+00
   160   0.538815E+01   0.566498E-01   0.248838E-01  -0.154866E+00
   161   0.518819E+01   0.555193E-01   0.243228E-01  -0.133186E+00
   162   0.501181E+01   0.543923E-01   0.237739E-01  -0.112348E+00
   163   0.485798E+01   0.532698E-01   0.232371E-01  -0.923484E-01
   164   0.472569E+01   0.521525E-01   0.227126E-01  -0.731847E-01
   165   0.461393E+01   0.510413E-01   0.222007E-01  -0.548541E-01
   166   0.452167E+01   0.499370E-01   0.217015E-01  -0.373537E-01
   167   0.444790E+01   0.488404E-01   0.212153E-01  -0.206807E-01
   168   0.439161E+01   0.477523E-01   0.207421E-01  -0.483228E-02
   169   0.435177E+01   0.466736E-01   0.202822E-01   0.101945E-01
   170   0.432738E+01   0.456052E-01   0.198358E-01   0.244024E-01
   171   0.431742E+01   0.445477E-01   0.194030E-01   0.377944E-01
   172   0.432087E+01   0.435021E-01   0.189841E-01   0.503732E-01
   173   0.433672E+01   0.424692E-01   0.185791E-01   0.621417E-01
   174   0.436395E+01   0.414498E-01   0.181884E-01   0.731027E-01
   175   0.440154E+01   0.404447E-01   0.178121E-01   0.832592E-01
   176   0.444854E+01   0.394547E-01   0.174502E-01   0.926171E-01
   177   0.450430E+01   0.384803E-01   0.171027E-01   0.101195E+00
   178   0.456820E+01   0.375219E-01   0.167692E-01   0.109016E+00
