#    L    TT             EE             BB             TE             PP             TP             EP          
  1511   0.667667E+03   0.128747E+02   0.340588E-03   0.910031E+01   0.335889E-08   0.164854E-05   0.876530E-07
  1512   0.664057E+03   0.129967E+02   0.339976E-03   0.941987E+01   0.335512E-08   0.163820E-05   0.896384E-07
  1513   0.660434E+03   0.131202E+02   0.339366E-03   0.972726E+01   0.335136E-08   0.162785E-05   0.916057E-07
  1514   0.656801E+03   0.132449E+02   0.338755E-03   0.100223E+02   0.334761E-08   0.161748E-05   0.935546E-07
  1515   0.653159E+03   0.133710E+02   0.338146E-03   0.103051E+02   0.334386E-08   0.160709E-05   0.954850E-07
  1516   0.649508E+03   0.134984E+02   0.337537E-03   0.105755E+02   0.334012E-08   0.159669E-05   0.973969E-07
  1517   0.645850E+03   0.136270E+02   0.336928E-03   0.108336E+02   0.333639E-08   0.158628E-05   0.992902E-07
  1518   0.642186E+03   0.137567E+02   0.336320E-03   0.110792E+02   0.333266E-08   0.157586E-05   0.101165E-06
  1519   0.638516E+03   0.138875E+02   0.335712E-03   0.113124E+02   0.332894E-08   0.156542E-05   0.103021E-06
  1520   0.634842E+03   0.140193E+02   0.335104E-03   0.115330E+02   0.332523E-08   0.155498E-05   0.104857E-06
  1521   0.631164E+03   0.141520E+02   0.334497E-03   0.117412E+02   0.332152E-08   0.154453E-05   0.106675E-06
  1522   0.627484E+03   0.142857E+02   0.333890E-03   0.119370E+02   0.331782E-08   0.153407E-05   0.108474E-06
  1523   0.623801E+03   0.144201E+02   0.333283E-03   0.121201E+02   0.331412E-08   0.152360E-05   0.110254E-06
  1524   0.620117E+03   0.145552E+02   0.332676E-03   0.122906E+02   0.331043E-08   0.151313E-05   0.112014E-06
  1525   0.616434E+03   0.146911E+02   0.332070E-03   0.124486E+02   0.330675E-08   0.150265E-05   0.113755E-06
  1526   0.612752E+03   0.148275E+02   0.331463E-03   0.125941E+02   0.330307E-08   0.149217E-05   0.115476E-06
  1527   0.609072E+03   0.149646E+02   0.330857E-03   0.127271E+02   0.329940E-08   0.148168E-05   0.117178E-06
  1528   0.605395E+03   0.151021E+02   0.330250E-03   0.128476E+02   0.329573E-08   0.147119E-05   0.118860E-06
  1529   0.601722E+03   0.152400E+02   0.329643E-03   0.129556E+02   0.329207E-08   0.146071E-05   0.120522E-06
  1530   0.598054E+03   0.153783E+02   0.329036E-03   0.130512E+02   0.328842E-08   0.145022E-05   0.122164E-06
  1531   0.594392E+03   0.155169E+02   0.328429E-03   0.131342E+02   0.328477E-08   0.143973E-05   0.123787E-06
  1532   0.590736E+03   0.156558E+02   0.327821E-03   0.132049E+02   0.328113E-08   0.142924E-05   0.125389E-06
  1533   0.587088E+03   0.157948E+02   0.327213E-03   0.132632E+02   0.327749E-08   0.141876E-05   0.126971E-06
  1534   0.583448E+03   0.159339E+02   0.326605E-03   0.133091E+02   0.327386E-08   0.140828E-05   0.128533E-06
  1535   0.579818E+03   0.160730E+02   0.325997E-03   0.133427E+02   0.327024E-08   0.139780E-05   0.130074E-06
  1536   0.576197E+03   0.162121E+02   0.325387E-03   0.133641E+02   0.326662E-08   0.138733E-05   0.131595E-06
  1537   0.572587E+03   0.163511E+02   0.324778E-03   0.133731E+02   0.326301E-08   0.137687E-05   0.133096E-06
  1538   0.568989E+03   0.164899E+02   0.324168E-03   0.133701E+02   0.325941E-08   0.136641E-05   0.134575E-06
  1539   0.565404E+03   0.166284E+02   0.323557E-03   0.133549E+02   0.325581E-08   0.135596E-05   0.136034E-06
  1540   0.561833E+03   0.167668E+02   0.322946E-03   0.133278E+02   0.325222E-08   0.134552E-05   0.137472E-06
  1541   0.558275E+03   0.169047E+02   0.322333E-03   0.132886E+02   0.324863E-08   0.133509E-05   0.138889E-06
  1542   0.554734E+03   0.170423E+02   0.321720E-03   0.132377E+02   0.324505E-08   0.132468E-05   0.140286E-06
  1543   0.551209E+03   0.171793E+02   0.321107E-03   0.131750E+02   0.324147E-08   0.131427E-05   0.141661E-06
  1544   0.547702E+03   0.173159E+02   0.320492E-03   0.131006E+02   0.323790E-08   0.130388E-05   0.143014E-06
  1545   0.544211E+03   0.174518E+02   0.319877E-03   0.130147E+02   0.323434E-08   0.129350E-05   0.144347E-06
  1546   0.540740E+03   0.175870E+02   0.319260E-03   0.129172E+02   0.323078E-08   0.128314E-05   0.145657E-06
  1547   0.537290E+03   0.177216E+02   0.318643E-03   0.128084E+02   0.322723E-08   0.127279E-05   0.146947E-06
  1548   0.533858E+03   0.178554E+02   0.318025E-03   0.126883E+02   0.322368E-08   0.126246E-05   0.148214E-06
  1549   0.530448E+03   0.179883E+02   0.317405E-03   0.125569E+02   0.322014E-08   0.125215E-05   0.149460E-06
  1550   0.527060E+03   0.181203E+02   0.316784E-03   0.124145E+02   0.321661E-08   0.124185E-05   0.150685E-06
  1551   0.523694E+03   0.182514E+02   0.316162E-03   0.122611E+02   0.321308E-08   0.123158E-05   0.151887E-06
  1552   0.520352E+03   0.183813E+02   0.315539E-03   0.120968E+02   0.320956E-08   0.122133E-05   0.153067E-06
  1553   0.517033E+03   0.185103E+02   0.314915E-03   0.119218E+02   0.320604E-08   0.121109E-05   0.154226E-06
  1554   0.513739E+03   0.186381E+02   0.314290E-03   0.117361E+02   0.320253E-08   0.120088E-05   0.155362E-06
  1555   0.510470E+03   0.187647E+02   0.313665E-03   0.115400E+02   0.319903E-08   0.119070E-05   0.156477E-06
  1556   0.507227E+03   0.188901E+02   0.313038E-03   0.113335E+02   0.319553E-08   0.118053E-05   0.157570E-06
  1557   0.504011E+03   0.190142E+02   0.312411E-03   0.111169E+02   0.319203E-08   0.117039E-05   0.158641E-06
  1558   0.500822E+03   0.191369E+02   0.311783E-03   0.108902E+02   0.318855E-08   0.116028E-05   0.159691E-06
  1559   0.497661E+03   0.192582E+02   0.311154E-03   0.106536E+02   0.318506E-08   0.115019E-05   0.160719E-06
  1560   0.494529E+03   0.193780E+02   0.310525E-03   0.104072E+02   0.318159E-08   0.114013E-05   0.161725E-06
  1561   0.491426E+03   0.194964E+02   0.309896E-03   0.101512E+02   0.317812E-08   0.113009E-05   0.162710E-06
  1562   0.488353E+03   0.196132E+02   0.309266E-03   0.988582E+01   0.317465E-08   0.112008E-05   0.163673E-06
  1563   0.485310E+03   0.197284E+02   0.308636E-03   0.961115E+01   0.317119E-08   0.111011E-05   0.164614E-06
  1564   0.482299E+03   0.198420E+02   0.308006E-03   0.932737E+01   0.316774E-08   0.110016E-05   0.165534E-06
  1565   0.479320E+03   0.199539E+02   0.307376E-03   0.903469E+01   0.316429E-08   0.109024E-05   0.166433E-06
  1566   0.476373E+03   0.200640E+02   0.306746E-03   0.873320E+01   0.316085E-08   0.108035E-05   0.167310E-06
  1567   0.473458E+03   0.201724E+02   0.306116E-03   0.842312E+01   0.315741E-08   0.107050E-05   0.168165E-06
  1568   0.470576E+03   0.202789E+02   0.305486E-03   0.810451E+01   0.315398E-08   0.106067E-05   0.169000E-06
  1569   0.467729E+03   0.203835E+02   0.304857E-03   0.777768E+01   0.315056E-08   0.105088E-05   0.169812E-06
  1570   0.464915E+03   0.204863E+02   0.304228E-03   0.744278E+01   0.314714E-08   0.104113E-05   0.170604E-06
  1571   0.462137E+03   0.205869E+02   0.303599E-03   0.709992E+01   0.314372E-08   0.103141E-05   0.171374E-06
  1572   0.459392E+03   0.206856E+02   0.302971E-03   0.674928E+01   0.314031E-08   0.102172E-05   0.172123E-06
  1573   0.456684E+03   0.207823E+02   0.302343E-03   0.639107E+01   0.313691E-08   0.101207E-05   0.172851E-06
  1574   0.454012E+03   0.208767E+02   0.301716E-03   0.602551E+01   0.313351E-08   0.100246E-05   0.173558E-06
  1575   0.451376E+03   0.209691E+02   0.301090E-03   0.565280E+01   0.313012E-08   0.992887E-06   0.174243E-06
  1576   0.448777E+03   0.210594E+02   0.300465E-03   0.527314E+01   0.312673E-08   0.983352E-06   0.174907E-06
  1577   0.446216E+03   0.211474E+02   0.299840E-03   0.488674E+01   0.312335E-08   0.973855E-06   0.175550E-06
  1578   0.443693E+03   0.212332E+02   0.299217E-03   0.449382E+01   0.311998E-08   0.964400E-06   0.176172E-06
  1579   0.441208E+03   0.213168E+02   0.298595E-03   0.409456E+01   0.311661E-08   0.954985E-06   0.176773E-06
  1580   0.438761E+03   0.213980E+02   0.297974E-03   0.368917E+01   0.311324E-08   0.945611E-06   0.177353E-06
  1581   0.436354E+03   0.214770E+02   0.297354E-03   0.327783E+01   0.310989E-08   0.936280E-06   0.177912E-06
  1582   0.433986E+03   0.215536E+02   0.296735E-03   0.286075E+01   0.310653E-08   0.926992E-06   0.178451E-06
  1583   0.431657E+03   0.216278E+02   0.296118E-03   0.243811E+01   0.310318E-08   0.917748E-06   0.178968E-06
  1584   0.429367E+03   0.216996E+02   0.295503E-03   0.201011E+01   0.309984E-08   0.908548E-06   0.179464E-06
  1585   0.427117E+03   0.217689E+02   0.294888E-03   0.157694E+01   0.309650E-08   0.899394E-06   0.179939E-06
  1586   0.424908E+03   0.218357E+02   0.294276E-03   0.113879E+01   0.309317E-08   0.890286E-06   0.180394E-06
  1587   0.422739E+03   0.219000E+02   0.293665E-03   0.695863E+00   0.308985E-08   0.881225E-06   0.180828E-06
  1588   0.420610E+03   0.219617E+02   0.293057E-03   0.248377E+00   0.308653E-08   0.872212E-06   0.181241E-06
  1589   0.418522E+03   0.220209E+02   0.292450E-03  -0.203468E+00   0.308321E-08   0.863247E-06   0.181633E-06
  1590   0.416475E+03   0.220775E+02   0.291845E-03  -0.659461E+00   0.307990E-08   0.854330E-06   0.182005E-06
  1591   0.414468E+03   0.221314E+02   0.291242E-03  -0.111940E+01   0.307660E-08   0.845464E-06   0.182356E-06
  1592   0.412504E+03   0.221828E+02   0.290641E-03  -0.158306E+01   0.307330E-08   0.836649E-06   0.182686E-06
  1593   0.410580E+03   0.222314E+02   0.290043E-03  -0.205026E+01   0.307000E-08   0.827885E-06   0.182996E-06
  1594   0.408697E+03   0.222773E+02   0.289446E-03  -0.252076E+01   0.306672E-08   0.819173E-06   0.183285E-06
  1595   0.406856E+03   0.223206E+02   0.288853E-03  -0.299437E+01   0.306343E-08   0.810514E-06   0.183554E-06
  1596   0.405056E+03   0.223611E+02   0.288261E-03  -0.347086E+01   0.306015E-08   0.801908E-06   0.183802E-06
  1597   0.403299E+03   0.223989E+02   0.287672E-03  -0.395003E+01   0.305688E-08   0.793357E-06   0.184030E-06
  1598   0.401583E+03   0.224339E+02   0.287086E-03  -0.443166E+01   0.305361E-08   0.784861E-06   0.184237E-06
  1599   0.399907E+03   0.224662E+02   0.286503E-03  -0.491554E+01   0.305035E-08   0.776421E-06   0.184424E-06
  1600   0.398275E+03   0.224957E+02   0.285922E-03  -0.540146E+01   0.304710E-08   0.768038E-06   0.184590E-06
  1601   0.396684E+03   0.225224E+02   0.285344E-03  -0.588921E+01   0.304385E-08   0.759712E-06   0.184736E-06
  1602   0.395134E+03   0.225464E+02   0.284770E-03  -0.637861E+01   0.304060E-08   0.751444E-06   0.184862E-06
  1603   0.393626E+03   0.225674E+02   0.284197E-03  -0.686943E+01   0.303736E-08   0.743233E-06   0.184968E-06
  1604   0.392159E+03   0.225856E+02   0.283628E-03  -0.736148E+01   0.303412E-08   0.735081E-06   0.185054E-06
  1605   0.390734E+03   0.226010E+02   0.283062E-03  -0.785460E+01   0.303089E-08   0.726988E-06   0.185120E-06
  1606   0.389349E+03   0.226136E+02   0.282498E-03  -0.834852E+01   0.302767E-08   0.718952E-06   0.185166E-06
  1607   0.388007E+03   0.226232E+02   0.281937E-03  -0.884302E+01   0.302445E-08   0.710976E-06   0.185193E-06
  1608   0.386705E+03   0.226300E+02   0.281378E-03  -0.933802E+01   0.302123E-08   0.703060E-06   0.185200E-06
  1609   0.385443E+03   0.226339E+02   0.280823E-03  -0.983314E+01   0.301802E-08   0.695202E-06   0.185188E-06
  1610   0.384223E+03   0.226349E+02   0.280270E-03  -0.103283E+02   0.301482E-08   0.687405E-06   0.185156E-06
  1611   0.383043E+03   0.226332E+02   0.279719E-03  -0.108232E+02   0.301162E-08   0.679667E-06   0.185106E-06
  1612   0.381905E+03   0.226287E+02   0.279171E-03  -0.113176E+02   0.300842E-08   0.671990E-06   0.185036E-06
  1613   0.380806E+03   0.226213E+02   0.278626E-03  -0.118114E+02   0.300523E-08   0.664373E-06   0.184947E-06
  1614   0.379748E+03   0.226111E+02   0.278083E-03  -0.123042E+02   0.300205E-08   0.656817E-06   0.184840E-06
  1615   0.378729E+03   0.225982E+02   0.277543E-03  -0.127960E+02   0.299887E-08   0.649322E-06   0.184714E-06
  1616   0.377751E+03   0.225825E+02   0.277005E-03  -0.132866E+02   0.299570E-08   0.641888E-06   0.184570E-06
  1617   0.376811E+03   0.225639E+02   0.276470E-03  -0.137757E+02   0.299253E-08   0.634516E-06   0.184407E-06
  1618   0.375912E+03   0.225427E+02   0.275937E-03  -0.142631E+02   0.298937E-08   0.627206E-06   0.184226E-06
  1619   0.375050E+03   0.225186E+02   0.275406E-03  -0.147487E+02   0.298621E-08   0.619958E-06   0.184026E-06
  1620   0.374228E+03   0.224918E+02   0.274878E-03  -0.152323E+02   0.298305E-08   0.612772E-06   0.183809E-06
  1621   0.373443E+03   0.224621E+02   0.274352E-03  -0.157137E+02   0.297991E-08   0.605649E-06   0.183573E-06
  1622   0.372697E+03   0.224298E+02   0.273828E-03  -0.161926E+02   0.297676E-08   0.598589E-06   0.183320E-06
  1623   0.371989E+03   0.223947E+02   0.273307E-03  -0.166690E+02   0.297362E-08   0.591591E-06   0.183050E-06
  1624   0.371317E+03   0.223569E+02   0.272787E-03  -0.171426E+02   0.297049E-08   0.584658E-06   0.182761E-06
  1625   0.370683E+03   0.223164E+02   0.272271E-03  -0.176133E+02   0.296736E-08   0.577787E-06   0.182455E-06
  1626   0.370086E+03   0.222733E+02   0.271756E-03  -0.180808E+02   0.296424E-08   0.570981E-06   0.182132E-06
  1627   0.369524E+03   0.222275E+02   0.271243E-03  -0.185450E+02   0.296112E-08   0.564239E-06   0.181792E-06
  1628   0.368999E+03   0.221790E+02   0.270733E-03  -0.190055E+02   0.295801E-08   0.557561E-06   0.181434E-06
  1629   0.368509E+03   0.221280E+02   0.270225E-03  -0.194625E+02   0.295490E-08   0.550948E-06   0.181060E-06
  1630   0.368054E+03   0.220743E+02   0.269718E-03  -0.199156E+02   0.295180E-08   0.544400E-06   0.180669E-06
  1631   0.367634E+03   0.220181E+02   0.269214E-03  -0.203647E+02   0.294870E-08   0.537917E-06   0.180261E-06
  1632   0.367248E+03   0.219593E+02   0.268712E-03  -0.208095E+02   0.294560E-08   0.531500E-06   0.179836E-06
  1633   0.366896E+03   0.218979E+02   0.268212E-03  -0.212500E+02   0.294252E-08   0.525148E-06   0.179395E-06
  1634   0.366577E+03   0.218341E+02   0.267714E-03  -0.216860E+02   0.293943E-08   0.518863E-06   0.178938E-06
  1635   0.366291E+03   0.217676E+02   0.267217E-03  -0.221174E+02   0.293635E-08   0.512643E-06   0.178464E-06
  1636   0.366037E+03   0.216987E+02   0.266723E-03  -0.225438E+02   0.293328E-08   0.506490E-06   0.177974E-06
  1637   0.365816E+03   0.216274E+02   0.266230E-03  -0.229653E+02   0.293021E-08   0.500404E-06   0.177469E-06
  1638   0.365626E+03   0.215536E+02   0.265740E-03  -0.233816E+02   0.292715E-08   0.494385E-06   0.176947E-06
  1639   0.365466E+03   0.214775E+02   0.265251E-03  -0.237927E+02   0.292409E-08   0.488433E-06   0.176410E-06
  1640   0.365338E+03   0.213990E+02   0.264764E-03  -0.241983E+02   0.292104E-08   0.482548E-06   0.175857E-06
  1641   0.365239E+03   0.213182E+02   0.264279E-03  -0.245984E+02   0.291799E-08   0.476732E-06   0.175288E-06
  1642   0.365169E+03   0.212352E+02   0.263795E-03  -0.249926E+02   0.291494E-08   0.470983E-06   0.174704E-06
  1643   0.365128E+03   0.211499E+02   0.263314E-03  -0.253811E+02   0.291190E-08   0.465303E-06   0.174105E-06
  1644   0.365117E+03   0.210624E+02   0.262833E-03  -0.257636E+02   0.290887E-08   0.459692E-06   0.173491E-06
  1645   0.365132E+03   0.209728E+02   0.262355E-03  -0.261398E+02   0.290584E-08   0.454149E-06   0.172861E-06
  1646   0.365175E+03   0.208809E+02   0.261878E-03  -0.265099E+02   0.290281E-08   0.448675E-06   0.172217E-06
  1647   0.365245E+03   0.207870E+02   0.261403E-03  -0.268736E+02   0.289979E-08   0.443271E-06   0.171558E-06
  1648   0.365341E+03   0.206910E+02   0.260930E-03  -0.272308E+02   0.289678E-08   0.437936E-06   0.170884E-06
  1649   0.365462E+03   0.205929E+02   0.260458E-03  -0.275813E+02   0.289377E-08   0.432671E-06   0.170196E-06
  1650   0.365608E+03   0.204927E+02   0.259987E-03  -0.279251E+02   0.289076E-08   0.427477E-06   0.169493E-06
  1651   0.365778E+03   0.203906E+02   0.259518E-03  -0.282620E+02   0.288776E-08   0.422352E-06   0.168776E-06
  1652   0.365973E+03   0.202865E+02   0.259051E-03  -0.285921E+02   0.288476E-08   0.417298E-06   0.168045E-06
  1653   0.366190E+03   0.201806E+02   0.258584E-03  -0.289150E+02   0.288177E-08   0.412314E-06   0.167300E-06
  1654   0.366431E+03   0.200727E+02   0.258120E-03  -0.292308E+02   0.287878E-08   0.407401E-06   0.166541E-06
  1655   0.366693E+03   0.199630E+02   0.257656E-03  -0.295393E+02   0.287580E-08   0.402557E-06   0.165768E-06
  1656   0.366976E+03   0.198516E+02   0.257194E-03  -0.298405E+02   0.287282E-08   0.397783E-06   0.164982E-06
  1657   0.367280E+03   0.197384E+02   0.256733E-03  -0.301343E+02   0.286985E-08   0.393079E-06   0.164183E-06
  1658   0.367604E+03   0.196235E+02   0.256274E-03  -0.304205E+02   0.286688E-08   0.388445E-06   0.163370E-06
  1659   0.367948E+03   0.195070E+02   0.255816E-03  -0.306992E+02   0.286392E-08   0.383880E-06   0.162543E-06
  1660   0.368311E+03   0.193889E+02   0.255358E-03  -0.309702E+02   0.286096E-08   0.379385E-06   0.161704E-06
  1661   0.368692E+03   0.192691E+02   0.254902E-03  -0.312334E+02   0.285801E-08   0.374960E-06   0.160853E-06
  1662   0.369090E+03   0.191479E+02   0.254447E-03  -0.314888E+02   0.285506E-08   0.370604E-06   0.159988E-06
  1663   0.369506E+03   0.190252E+02   0.253993E-03  -0.317364E+02   0.285211E-08   0.366317E-06   0.159111E-06
  1664   0.369938E+03   0.189011E+02   0.253541E-03  -0.319760E+02   0.284917E-08   0.362099E-06   0.158222E-06
  1665   0.370386E+03   0.187756E+02   0.253089E-03  -0.322076E+02   0.284624E-08   0.357951E-06   0.157320E-06
  1666   0.370848E+03   0.186487E+02   0.252638E-03  -0.324311E+02   0.284331E-08   0.353871E-06   0.156406E-06
  1667   0.371326E+03   0.185206E+02   0.252188E-03  -0.326465E+02   0.284038E-08   0.349861E-06   0.155481E-06
  1668   0.371817E+03   0.183912E+02   0.251738E-03  -0.328537E+02   0.283746E-08   0.345919E-06   0.154543E-06
  1669   0.372321E+03   0.182605E+02   0.251290E-03  -0.330526E+02   0.283454E-08   0.342046E-06   0.153594E-06
  1670   0.372837E+03   0.181287E+02   0.250843E-03  -0.332432E+02   0.283163E-08   0.338241E-06   0.152634E-06
  1671   0.373365E+03   0.179957E+02   0.250396E-03  -0.334255E+02   0.282872E-08   0.334506E-06   0.151662E-06
  1672   0.373904E+03   0.178617E+02   0.249950E-03  -0.335994E+02   0.282582E-08   0.330838E-06   0.150679E-06
  1673   0.374454E+03   0.177266E+02   0.249504E-03  -0.337650E+02   0.282292E-08   0.327239E-06   0.149685E-06
  1674   0.375014E+03   0.175906E+02   0.249060E-03  -0.339221E+02   0.282003E-08   0.323708E-06   0.148680E-06
  1675   0.375583E+03   0.174537E+02   0.248615E-03  -0.340709E+02   0.281714E-08   0.320246E-06   0.147664E-06
  1676   0.376160E+03   0.173160E+02   0.248172E-03  -0.342112E+02   0.281425E-08   0.316851E-06   0.146638E-06
  1677   0.376746E+03   0.171776E+02   0.247729E-03  -0.343431E+02   0.281137E-08   0.313525E-06   0.145601E-06
  1678   0.377339E+03   0.170383E+02   0.247287E-03  -0.344665E+02   0.280849E-08   0.310266E-06   0.144554E-06
  1679   0.377939E+03   0.168984E+02   0.246845E-03  -0.345814E+02   0.280562E-08   0.307075E-06   0.143497E-06
  1680   0.378545E+03   0.167579E+02   0.246403E-03  -0.346879E+02   0.280276E-08   0.303952E-06   0.142429E-06
  1681   0.379157E+03   0.166168E+02   0.245962E-03  -0.347858E+02   0.279989E-08   0.300896E-06   0.141352E-06
  1682   0.379772E+03   0.164751E+02   0.245521E-03  -0.348753E+02   0.279703E-08   0.297909E-06   0.140266E-06
  1683   0.380392E+03   0.163329E+02   0.245080E-03  -0.349562E+02   0.279418E-08   0.294988E-06   0.139169E-06
  1684   0.381016E+03   0.161902E+02   0.244640E-03  -0.350286E+02   0.279133E-08   0.292135E-06   0.138064E-06
  1685   0.381643E+03   0.160471E+02   0.244200E-03  -0.350925E+02   0.278849E-08   0.289349E-06   0.136949E-06
  1686   0.382272E+03   0.159036E+02   0.243760E-03  -0.351478E+02   0.278565E-08   0.286630E-06   0.135824E-06
  1687   0.382902E+03   0.157598E+02   0.243321E-03  -0.351948E+02   0.278281E-08   0.283978E-06   0.134691E-06
  1688   0.383533E+03   0.156158E+02   0.242881E-03  -0.352333E+02   0.277998E-08   0.281394E-06   0.133550E-06
  1689   0.384166E+03   0.154715E+02   0.242442E-03  -0.352633E+02   0.277715E-08   0.278876E-06   0.132399E-06
  1690   0.384797E+03   0.153271E+02   0.242003E-03  -0.352850E+02   0.277433E-08   0.276425E-06   0.131240E-06
  1691   0.385428E+03   0.151826E+02   0.241564E-03  -0.352982E+02   0.277151E-08   0.274040E-06   0.130073E-06
  1692   0.386058E+03   0.150380E+02   0.241124E-03  -0.353031E+02   0.276870E-08   0.271723E-06   0.128897E-06
  1693   0.386685E+03   0.148933E+02   0.240685E-03  -0.352998E+02   0.276589E-08   0.269471E-06   0.127713E-06
  1694   0.387310E+03   0.147487E+02   0.240246E-03  -0.352880E+02   0.276308E-08   0.267287E-06   0.126522E-06
  1695   0.387931E+03   0.146042E+02   0.239806E-03  -0.352681E+02   0.276028E-08   0.265168E-06   0.125322E-06
  1696   0.388549E+03   0.144597E+02   0.239366E-03  -0.352399E+02   0.275749E-08   0.263116E-06   0.124115E-06
  1697   0.389162E+03   0.143155E+02   0.238927E-03  -0.352035E+02   0.275469E-08   0.261130E-06   0.122901E-06
  1698   0.389769E+03   0.141713E+02   0.238486E-03  -0.351589E+02   0.275191E-08   0.259210E-06   0.121679E-06
  1699   0.390371E+03   0.140275E+02   0.238046E-03  -0.351063E+02   0.274912E-08   0.257356E-06   0.120450E-06
  1700   0.390967E+03   0.138840E+02   0.237605E-03  -0.350457E+02   0.274634E-08   0.255567E-06   0.119214E-06
  1701   0.391556E+03   0.137407E+02   0.237164E-03  -0.349771E+02   0.274357E-08   0.253845E-06   0.117971E-06
  1702   0.392138E+03   0.135978E+02   0.236723E-03  -0.349005E+02   0.274080E-08   0.252188E-06   0.116722E-06
  1703   0.392712E+03   0.134555E+02   0.236282E-03  -0.348163E+02   0.273803E-08   0.250596E-06   0.115465E-06
  1704   0.393278E+03   0.133136E+02   0.235840E-03  -0.347243E+02   0.273527E-08   0.249068E-06   0.114203E-06
  1705   0.393836E+03   0.131724E+02   0.235398E-03  -0.346247E+02   0.273251E-08   0.247605E-06   0.112934E-06
  1706   0.394384E+03   0.130316E+02   0.234956E-03  -0.345176E+02   0.272976E-08   0.246206E-06   0.111659E-06
  1707   0.394923E+03   0.128915E+02   0.234513E-03  -0.344029E+02   0.272701E-08   0.244870E-06   0.110378E-06
  1708   0.395451E+03   0.127521E+02   0.234071E-03  -0.342809E+02   0.272427E-08   0.243598E-06   0.109092E-06
  1709   0.395969E+03   0.126134E+02   0.233629E-03  -0.341516E+02   0.272153E-08   0.242388E-06   0.107800E-06
  1710   0.396475E+03   0.124755E+02   0.233186E-03  -0.340150E+02   0.271879E-08   0.241241E-06   0.106502E-06
  1711   0.396971E+03   0.123384E+02   0.232744E-03  -0.338713E+02   0.271606E-08   0.240156E-06   0.105200E-06
  1712   0.397453E+03   0.122021E+02   0.232301E-03  -0.337206E+02   0.271333E-08   0.239132E-06   0.103892E-06
  1713   0.397923E+03   0.120667E+02   0.231859E-03  -0.335628E+02   0.271061E-08   0.238170E-06   0.102579E-06
  1714   0.398380E+03   0.119321E+02   0.231417E-03  -0.333981E+02   0.270789E-08   0.237269E-06   0.101261E-06
  1715   0.398824E+03   0.117986E+02   0.230975E-03  -0.332268E+02   0.270517E-08   0.236428E-06   0.999393E-07
  1716   0.399254E+03   0.116661E+02   0.230533E-03  -0.330488E+02   0.270246E-08   0.235648E-06   0.986128E-07
  1717   0.399669E+03   0.115346E+02   0.230091E-03  -0.328641E+02   0.269975E-08   0.234927E-06   0.972819E-07
  1718   0.400070E+03   0.114042E+02   0.229650E-03  -0.326731E+02   0.269705E-08   0.234266E-06   0.959470E-07
  1719   0.400456E+03   0.112749E+02   0.229209E-03  -0.324757E+02   0.269435E-08   0.233664E-06   0.946081E-07
  1720   0.400826E+03   0.111467E+02   0.228768E-03  -0.322721E+02   0.269166E-08   0.233120E-06   0.932655E-07
  1721   0.401181E+03   0.110198E+02   0.228328E-03  -0.320624E+02   0.268897E-08   0.232635E-06   0.919192E-07
  1722   0.401520E+03   0.108940E+02   0.227888E-03  -0.318466E+02   0.268628E-08   0.232208E-06   0.905695E-07
  1723   0.401842E+03   0.107696E+02   0.227448E-03  -0.316251E+02   0.268360E-08   0.231839E-06   0.892165E-07
  1724   0.402148E+03   0.106465E+02   0.227009E-03  -0.313977E+02   0.268092E-08   0.231527E-06   0.878603E-07
  1725   0.402436E+03   0.105247E+02   0.226570E-03  -0.311648E+02   0.267825E-08   0.231271E-06   0.865012E-07
  1726   0.402706E+03   0.104043E+02   0.226132E-03  -0.309263E+02   0.267558E-08   0.231073E-06   0.851393E-07
  1727   0.402959E+03   0.102853E+02   0.225695E-03  -0.306825E+02   0.267291E-08   0.230930E-06   0.837747E-07
  1728   0.403194E+03   0.101677E+02   0.225258E-03  -0.304333E+02   0.267025E-08   0.230843E-06   0.824077E-07
  1729   0.403410E+03   0.100517E+02   0.224822E-03  -0.301791E+02   0.266759E-08   0.230811E-06   0.810383E-07
  1730   0.403607E+03   0.993711E+01   0.224386E-03  -0.299197E+02   0.266494E-08   0.230835E-06   0.796668E-07
  1731   0.403785E+03   0.982403E+01   0.223951E-03  -0.296555E+02   0.266229E-08   0.230913E-06   0.782933E-07
  1732   0.403944E+03   0.971252E+01   0.223517E-03  -0.293864E+02   0.265964E-08   0.231045E-06   0.769180E-07
  1733   0.404082E+03   0.960264E+01   0.223084E-03  -0.291127E+02   0.265700E-08   0.231231E-06   0.755411E-07
  1734   0.404201E+03   0.949433E+01   0.222652E-03  -0.288344E+02   0.265436E-08   0.231471E-06   0.741626E-07
  1735   0.404299E+03   0.938764E+01   0.222220E-03  -0.285517E+02   0.265173E-08   0.231764E-06   0.727828E-07
  1736   0.404377E+03   0.928267E+01   0.221789E-03  -0.282648E+02   0.264910E-08   0.232110E-06   0.714018E-07
  1737   0.404435E+03   0.917941E+01   0.221360E-03  -0.279738E+02   0.264648E-08   0.232508E-06   0.700198E-07
  1738   0.404472E+03   0.907786E+01   0.220931E-03  -0.276789E+02   0.264385E-08   0.232958E-06   0.686370E-07
  1739   0.404488E+03   0.897810E+01   0.220503E-03  -0.273802E+02   0.264124E-08   0.233460E-06   0.672535E-07
  1740   0.404483E+03   0.888011E+01   0.220076E-03  -0.270779E+02   0.263862E-08   0.234013E-06   0.658695E-07
