#    L    TT             EE             BB             TE             PP             TP             EP          
    54   0.179670E+04   0.206915E+00   0.476976E-01  -0.262793E+01   0.131899E-06   0.722094E-03  -0.558737E-06
    55   0.181326E+04   0.217261E+00   0.486935E-01  -0.291514E+01   0.131317E-06   0.708998E-03  -0.532829E-06
    56   0.182998E+04   0.227922E+00   0.496681E-01  -0.321346E+01   0.130724E-06   0.696468E-03  -0.513797E-06
    57   0.184698E+04   0.238884E+00   0.506206E-01  -0.352363E+01   0.130120E-06   0.684415E-03  -0.504559E-06
    58   0.186424E+04   0.250134E+00   0.515502E-01  -0.384573E+01   0.129507E-06   0.672735E-03  -0.507208E-06
    59   0.188168E+04   0.261658E+00   0.524559E-01  -0.417956E+01   0.128885E-06   0.661320E-03  -0.523832E-06
    60   0.189930E+04   0.273437E+00   0.533370E-01  -0.452450E+01   0.128255E-06   0.650067E-03  -0.556515E-06
    61   0.191713E+04   0.285453E+00   0.541926E-01  -0.488003E+01   0.127617E-06   0.638898E-03  -0.605563E-06
    62   0.193514E+04   0.297709E+00   0.550220E-01  -0.524629E+01   0.126973E-06   0.627859E-03  -0.664177E-06
    63   0.195333E+04   0.310211E+00   0.558242E-01  -0.562362E+01   0.126323E-06   0.617021E-03  -0.723788E-06
    64   0.197168E+04   0.322965E+00   0.565987E-01  -0.601235E+01   0.125666E-06   0.606457E-03  -0.775845E-06
    65   0.199019E+04   0.335980E+00   0.573445E-01  -0.641286E+01   0.125005E-06   0.596241E-03  -0.811807E-06
    66   0.200889E+04   0.349256E+00   0.580611E-01  -0.682550E+01   0.124340E-06   0.586427E-03  -0.825571E-06
    67   0.202777E+04   0.362780E+00   0.587479E-01  -0.724961E+01   0.123670E-06   0.576994E-03  -0.820756E-06
    68   0.204684E+04   0.376537E+00   0.594046E-01  -0.768430E+01   0.122997E-06   0.567905E-03  -0.803396E-06
    69   0.206610E+04   0.390511E+00   0.600308E-01  -0.812867E+01   0.122322E-06   0.559120E-03  -0.779521E-06
    70   0.208555E+04   0.404690E+00   0.606260E-01  -0.858204E+01   0.121644E-06   0.550601E-03  -0.755151E-06
