#    L    TT             EE             BB             TE          
    91   0.242967E+04   0.638997E+00   0.265473E-02  -0.173086E+02
    92   0.245900E+04   0.654549E+00   0.271373E-02  -0.179451E+02
    93   0.248856E+04   0.670073E+00   0.277341E-02  -0.185862E+02
    94   0.251833E+04   0.685558E+00   0.283377E-02  -0.192316E+02
    95   0.254833E+04   0.700987E+00   0.289482E-02  -0.198809E+02
    96   0.257855E+04   0.716347E+00   0.295656E-02  -0.205335E+02
    97   0.260900E+04   0.731623E+00   0.301898E-02  -0.211890E+02
    98   0.263967E+04   0.746799E+00   0.308211E-02  -0.218470E+02
    99   0.267055E+04   0.761860E+00   0.314594E-02  -0.225069E+02
   100   0.270165E+04   0.776796E+00   0.321047E-02  -0.231683E+02
   101   0.273297E+04   0.791590E+00   0.327572E-02  -0.238305E+02
   102   0.276449E+04   0.806222E+00   0.334167E-02  -0.244933E+02
   103   0.279622E+04   0.820690E+00   0.340835E-02  -0.251559E+02
   104   0.282814E+04   0.834965E+00   0.347575E-02  -0.258178E+02
   105   0.286025E+04   0.849039E+00   0.354387E-02  -0.264786E+02
   106   0.289255E+04   0.862898E+00   0.361274E-02  -0.271375E+02
   107   0.292502E+04   0.876535E+00   0.368233E-02  -0.277940E+02
   108   0.295765E+04   0.889926E+00   0.375268E-02  -0.284476E+02
   109   0.299044E+04   0.903065E+00   0.382377E-02  -0.290976E+02
   110   0.302339E+04   0.915929E+00   0.389561E-02  -0.297435E+02
   111   0.305648E+04   0.928510E+00   0.396822E-02  -0.303849E+02
   112   0.308972E+04   0.940802E+00   0.404159E-02  -0.310209E+02
   113   0.312310E+04   0.952783E+00   0.411573E-02  -0.316513E+02
   114   0.315660E+04   0.964436E+00   0.419065E-02  -0.322752E+02
   115   0.319022E+04   0.975764E+00   0.426635E-02  -0.328924E+02
   116   0.322397E+04   0.986750E+00   0.434284E-02  -0.335021E+02
   117   0.325783E+04   0.997372E+00   0.442012E-02  -0.341038E+02
   118   0.329179E+04   0.100763E+01   0.449820E-02  -0.346970E+02
   119   0.332584E+04   0.101751E+01   0.457709E-02  -0.352811E+02
   120   0.335999E+04   0.102701E+01   0.465680E-02  -0.358556E+02
   121   0.339422E+04   0.103610E+01   0.473732E-02  -0.364200E+02
   122   0.342852E+04   0.104479E+01   0.481867E-02  -0.369736E+02
   123   0.346289E+04   0.105307E+01   0.490085E-02  -0.375161E+02
   124   0.349732E+04   0.106091E+01   0.498387E-02  -0.380467E+02
   125   0.353179E+04   0.106832E+01   0.506773E-02  -0.385650E+02
   126   0.356632E+04   0.107529E+01   0.515244E-02  -0.390705E+02
   127   0.360087E+04   0.108182E+01   0.523801E-02  -0.395627E+02
   128   0.363544E+04   0.108789E+01   0.532444E-02  -0.400410E+02
   129   0.367004E+04   0.109349E+01   0.541175E-02  -0.405050E+02
   130   0.370465E+04   0.109863E+01   0.549992E-02  -0.409540E+02
   131   0.373925E+04   0.110329E+01   0.558898E-02  -0.413877E+02
   132   0.377385E+04   0.110748E+01   0.567893E-02  -0.418055E+02
   133   0.380843E+04   0.111118E+01   0.576977E-02  -0.422070E+02
   134   0.384299E+04   0.111441E+01   0.586151E-02  -0.425915E+02
   135   0.387751E+04   0.111714E+01   0.595416E-02  -0.429588E+02
   136   0.391201E+04   0.111939E+01   0.604772E-02  -0.433083E+02
   137   0.394645E+04   0.112114E+01   0.614220E-02  -0.436394E+02
   138   0.398084E+04   0.112240E+01   0.623760E-02  -0.439518E+02
   139   0.401517E+04   0.112317E+01   0.633393E-02  -0.442451E+02
   140   0.404943E+04   0.112344E+01   0.643120E-02  -0.445189E+02
   141   0.408361E+04   0.112324E+01   0.652940E-02  -0.447727E+02
   142   0.411770E+04   0.112254E+01   0.662856E-02  -0.450061E+02
   143   0.415170E+04   0.112135E+01   0.672866E-02  -0.452187E+02
   144   0.418559E+04   0.111969E+01   0.682972E-02  -0.454102E+02
   145   0.421938E+04   0.111754E+01   0.693174E-02  -0.455800E+02
   146   0.425302E+04   0.111492E+01   0.703472E-02  -0.457278E+02
   147   0.428652E+04   0.111183E+01   0.713868E-02  -0.458532E+02
   148   0.431986E+04   0.110828E+01   0.724361E-02  -0.459558E+02
   149   0.435303E+04   0.110428E+01   0.734952E-02  -0.460352E+02
   150   0.438601E+04   0.109983E+01   0.745641E-02  -0.460909E+02
   151   0.441878E+04   0.109493E+01   0.756428E-02  -0.461226E+02
   152   0.445134E+04   0.108960E+01   0.767315E-02  -0.461301E+02
   153   0.448369E+04   0.108386E+01   0.778301E-02  -0.461131E+02
   154   0.451582E+04   0.107771E+01   0.789387E-02  -0.460713E+02
   155   0.454773E+04   0.107116E+01   0.800573E-02  -0.460045E+02
   156   0.457941E+04   0.106423E+01   0.811859E-02  -0.459124E+02
   157   0.461085E+04   0.105691E+01   0.823245E-02  -0.457949E+02
   158   0.464206E+04   0.104925E+01   0.834732E-02  -0.456516E+02
   159   0.467301E+04   0.104124E+01   0.846320E-02  -0.454823E+02
   160   0.470370E+04   0.103289E+01   0.858009E-02  -0.452870E+02
   161   0.473412E+04   0.102424E+01   0.869800E-02  -0.450652E+02
   162   0.476424E+04   0.101529E+01   0.881691E-02  -0.448170E+02
   163   0.479406E+04   0.100606E+01   0.893684E-02  -0.445419E+02
   164   0.482356E+04   0.996574E+00   0.905779E-02  -0.442400E+02
   165   0.485274E+04   0.986839E+00   0.917975E-02  -0.439109E+02
   166   0.488158E+04   0.976880E+00   0.930272E-02  -0.435547E+02
   167   0.491008E+04   0.966720E+00   0.942671E-02  -0.431710E+02
   168   0.493822E+04   0.956382E+00   0.955171E-02  -0.427601E+02
   169   0.496600E+04   0.945887E+00   0.967773E-02  -0.423217E+02
   170   0.499341E+04   0.935251E+00   0.980476E-02  -0.418559E+02
   171   0.502043E+04   0.924504E+00   0.993280E-02  -0.413624E+02
   172   0.504708E+04   0.913668E+00   0.100618E-01  -0.408414E+02
   173   0.507333E+04   0.902764E+00   0.101919E-01  -0.402927E+02
   174   0.509916E+04   0.891817E+00   0.103230E-01  -0.397164E+02
   175   0.512459E+04   0.880862E+00   0.104550E-01  -0.391125E+02
   176   0.514959E+04   0.869915E+00   0.105881E-01  -0.384811E+02
   177   0.517416E+04   0.859013E+00   0.107221E-01  -0.378221E+02
   178   0.519829E+04   0.848179E+00   0.108572E-01  -0.371357E+02
   179   0.522196E+04   0.837434E+00   0.109932E-01  -0.364217E+02
   180   0.524519E+04   0.826815E+00   0.111302E-01  -0.356805E+02
   181   0.526795E+04   0.816353E+00   0.112682E-01  -0.349120E+02
   182   0.529023E+04   0.806078E+00   0.114071E-01  -0.341165E+02
   183   0.531205E+04   0.796010E+00   0.115470E-01  -0.332941E+02
   184   0.533338E+04   0.786189E+00   0.116879E-01  -0.324449E+02
   185   0.535422E+04   0.776650E+00   0.118297E-01  -0.315690E+02
   186   0.537455E+04   0.767416E+00   0.119725E-01  -0.306667E+02
   187   0.539439E+04   0.758517E+00   0.121162E-01  -0.297381E+02
   188   0.541372E+04   0.749994E+00   0.122609E-01  -0.287835E+02
   189   0.543252E+04   0.741878E+00   0.124064E-01  -0.278030E+02
   190   0.545080E+04   0.734202E+00   0.125529E-01  -0.267970E+02
   191   0.546855E+04   0.726999E+00   0.127003E-01  -0.257658E+02
   192   0.548576E+04   0.720303E+00   0.128486E-01  -0.247094E+02
   193   0.550242E+04   0.714148E+00   0.129978E-01  -0.236281E+02
   194   0.551853E+04   0.708570E+00   0.131478E-01  -0.225225E+02
   195   0.553409E+04   0.703604E+00   0.132987E-01  -0.213927E+02
   196   0.554909E+04   0.699285E+00   0.134505E-01  -0.202392E+02
   197   0.556353E+04   0.695650E+00   0.136031E-01  -0.190622E+02
   198   0.557742E+04   0.692735E+00   0.137566E-01  -0.178622E+02
   199   0.559073E+04   0.690576E+00   0.139109E-01  -0.166395E+02
   200   0.560348E+04   0.689208E+00   0.140660E-01  -0.153946E+02
   201   0.561565E+04   0.688669E+00   0.142219E-01  -0.141277E+02
   202   0.562723E+04   0.688994E+00   0.143785E-01  -0.128394E+02
   203   0.563821E+04   0.690220E+00   0.145360E-01  -0.115300E+02
   204   0.564860E+04   0.692383E+00   0.146942E-01  -0.101999E+02
   205   0.565835E+04   0.695520E+00   0.148532E-01  -0.884967E+01
   206   0.566748E+04   0.699667E+00   0.150129E-01  -0.747961E+01
   207   0.567598E+04   0.704861E+00   0.151733E-01  -0.609013E+01
   208   0.568383E+04   0.711139E+00   0.153345E-01  -0.468182E+01
   209   0.569107E+04   0.718535E+00   0.154963E-01  -0.325523E+01
   210   0.569768E+04   0.727087E+00   0.156588E-01  -0.181090E+01
   211   0.570368E+04   0.736832E+00   0.158220E-01  -0.349404E+00
   212   0.570906E+04   0.747806E+00   0.159858E-01   0.112871E+01
   213   0.571384E+04   0.760044E+00   0.161502E-01   0.262289E+01
   214   0.571802E+04   0.773585E+00   0.163153E-01   0.413257E+01
   215   0.572160E+04   0.788457E+00   0.164809E-01   0.565716E+01
   216   0.572457E+04   0.804705E+00   0.166472E-01   0.719607E+01
   217   0.572692E+04   0.822359E+00   0.168140E-01   0.874869E+01
   218   0.572866E+04   0.841448E+00   0.169813E-01   0.103145E+02
   219   0.572978E+04   0.862017E+00   0.171492E-01   0.118928E+02
   220   0.573027E+04   0.884094E+00   0.173176E-01   0.134831E+02
   221   0.573014E+04   0.907709E+00   0.174865E-01   0.150847E+02
   222   0.572938E+04   0.932905E+00   0.176559E-01   0.166970E+02
   223   0.572798E+04   0.959706E+00   0.178257E-01   0.183194E+02
   224   0.572597E+04   0.988148E+00   0.179960E-01   0.199512E+02
   225   0.572333E+04   0.101825E+01   0.181667E-01   0.215916E+02
   226   0.572007E+04   0.105006E+01   0.183378E-01   0.232402E+02
   227   0.571618E+04   0.108361E+01   0.185092E-01   0.248961E+02
   228   0.571168E+04   0.111891E+01   0.186811E-01   0.265588E+02
   229   0.570656E+04   0.115601E+01   0.188533E-01   0.282275E+02
   230   0.570082E+04   0.119493E+01   0.190258E-01   0.299016E+02
   231   0.569447E+04   0.123569E+01   0.191986E-01   0.315804E+02
   232   0.568751E+04   0.127833E+01   0.193718E-01   0.332631E+02
   233   0.567994E+04   0.132287E+01   0.195452E-01   0.349491E+02
   234   0.567176E+04   0.136933E+01   0.197188E-01   0.366375E+02
   235   0.566297E+04   0.141775E+01   0.198927E-01   0.383278E+02
   236   0.565358E+04   0.146815E+01   0.200667E-01   0.400193E+02
   237   0.564359E+04   0.152054E+01   0.202410E-01   0.417110E+02
   238   0.563301E+04   0.157496E+01   0.204155E-01   0.434025E+02
   239   0.562183E+04   0.163141E+01   0.205900E-01   0.450929E+02
   240   0.561006E+04   0.168992E+01   0.207648E-01   0.467813E+02
   241   0.559771E+04   0.175053E+01   0.209396E-01   0.484673E+02
   242   0.558477E+04   0.181323E+01   0.211145E-01   0.501499E+02
   243   0.557127E+04   0.187806E+01   0.212895E-01   0.518284E+02
   244   0.555718E+04   0.194502E+01   0.214646E-01   0.535022E+02
   245   0.554253E+04   0.201413E+01   0.216396E-01   0.551705E+02
   246   0.552733E+04   0.208541E+01   0.218147E-01   0.568327E+02
   247   0.551157E+04   0.215887E+01   0.219898E-01   0.584880E+02
   248   0.549527E+04   0.223453E+01   0.221649E-01   0.601355E+02
   249   0.547843E+04   0.231239E+01   0.223399E-01   0.617747E+02
   250   0.546105E+04   0.239248E+01   0.225148E-01   0.634048E+02
   251   0.544313E+04   0.247478E+01   0.226897E-01   0.650250E+02
   252   0.542468E+04   0.255932E+01   0.228644E-01   0.666344E+02
   253   0.540571E+04   0.264609E+01   0.230390E-01   0.682324E+02
