#    L    TT             EE             BB             TE          
    91   0.256019E+04   0.734547E+00   0.684164E-01  -0.200562E+02
    92   0.258571E+04   0.750586E+00   0.683740E-01  -0.206676E+02
    93   0.261150E+04   0.766564E+00   0.683024E-01  -0.212822E+02
    94   0.263757E+04   0.782466E+00   0.682022E-01  -0.218998E+02
    95   0.266392E+04   0.798277E+00   0.680741E-01  -0.225199E+02
    96   0.269055E+04   0.813983E+00   0.679188E-01  -0.231421E+02
    97   0.271746E+04   0.829569E+00   0.677369E-01  -0.237661E+02
    98   0.274466E+04   0.845018E+00   0.675290E-01  -0.243913E+02
    99   0.277213E+04   0.860317E+00   0.672958E-01  -0.250174E+02
   100   0.279987E+04   0.875453E+00   0.670381E-01  -0.256438E+02
   101   0.282790E+04   0.890411E+00   0.667563E-01  -0.262701E+02
   102   0.285619E+04   0.905169E+00   0.664513E-01  -0.268960E+02
   103   0.288475E+04   0.919727E+00   0.661235E-01  -0.275208E+02
   104   0.291357E+04   0.934054E+00   0.657738E-01  -0.281441E+02
   105   0.294264E+04   0.948144E+00   0.654028E-01  -0.287654E+02
   106   0.297196E+04   0.961980E+00   0.650111E-01  -0.293841E+02
   107   0.300152E+04   0.975556E+00   0.645994E-01  -0.299997E+02
   108   0.303130E+04   0.988849E+00   0.641683E-01  -0.306117E+02
   109   0.306132E+04   0.100185E+01   0.637184E-01  -0.312194E+02
   110   0.309156E+04   0.101454E+01   0.632506E-01  -0.318226E+02
   111   0.312201E+04   0.102691E+01   0.627654E-01  -0.324206E+02
   112   0.315267E+04   0.103895E+01   0.622636E-01  -0.330129E+02
   113   0.318354E+04   0.105064E+01   0.617460E-01  -0.335990E+02
   114   0.321460E+04   0.106197E+01   0.612134E-01  -0.341785E+02
   115   0.324585E+04   0.107294E+01   0.606666E-01  -0.347507E+02
   116   0.327729E+04   0.108353E+01   0.601065E-01  -0.353152E+02
   117   0.330890E+04   0.109373E+01   0.595337E-01  -0.358715E+02
   118   0.334068E+04   0.110352E+01   0.589492E-01  -0.364191E+02
   119   0.337261E+04   0.111291E+01   0.583537E-01  -0.369575E+02
   120   0.340471E+04   0.112188E+01   0.577480E-01  -0.374862E+02
   121   0.343695E+04   0.113041E+01   0.571330E-01  -0.380047E+02
   122   0.346932E+04   0.113851E+01   0.565093E-01  -0.385125E+02
   123   0.350181E+04   0.114617E+01   0.558779E-01  -0.390091E+02
   124   0.353444E+04   0.115336E+01   0.552395E-01  -0.394941E+02
   125   0.356716E+04   0.116010E+01   0.545949E-01  -0.399668E+02
   126   0.360000E+04   0.116636E+01   0.539449E-01  -0.404271E+02
   127   0.363292E+04   0.117216E+01   0.532903E-01  -0.408741E+02
   128   0.366592E+04   0.117747E+01   0.526320E-01  -0.413077E+02
   129   0.369901E+04   0.118229E+01   0.519707E-01  -0.417272E+02
   130   0.373216E+04   0.118662E+01   0.513072E-01  -0.421322E+02
   131   0.376536E+04   0.119045E+01   0.506423E-01  -0.425223E+02
   132   0.379862E+04   0.119378E+01   0.499767E-01  -0.428969E+02
   133   0.383191E+04   0.119660E+01   0.493109E-01  -0.432557E+02
   134   0.386524E+04   0.119893E+01   0.486456E-01  -0.435981E+02
   135   0.389859E+04   0.120074E+01   0.479814E-01  -0.439238E+02
   136   0.393195E+04   0.120205E+01   0.473189E-01  -0.442322E+02
   137   0.396532E+04   0.120284E+01   0.466587E-01  -0.445228E+02
