#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1051   0.107264E+04  -0.802944E+02   0.966989E-06  -0.802944E+02   0.340555E+02   0.573190E-06   0.966989E-06   0.573190E-06   0.614619E-08
  1052   0.107572E+04  -0.808205E+02   0.944995E-06  -0.808205E+02   0.337578E+02   0.569550E-06   0.944995E-06   0.569550E-06   0.613660E-08
  1053   0.107885E+04  -0.813206E+02   0.923325E-06  -0.813206E+02   0.334582E+02   0.565866E-06   0.923325E-06   0.565866E-06   0.612703E-08
  1054   0.108202E+04  -0.817947E+02   0.901979E-06  -0.817947E+02   0.331569E+02   0.562139E-06   0.901979E-06   0.562139E-06   0.611748E-08
  1055   0.108522E+04  -0.822436E+02   0.880955E-06  -0.822436E+02   0.328538E+02   0.558370E-06   0.880955E-06   0.558370E-06   0.610796E-08
  1056   0.108846E+04  -0.826664E+02   0.860254E-06  -0.826664E+02   0.325491E+02   0.554560E-06   0.860254E-06   0.554560E-06   0.609846E-08
  1057   0.109173E+04  -0.830625E+02   0.839873E-06  -0.830625E+02   0.322430E+02   0.550709E-06   0.839873E-06   0.550709E-06   0.608898E-08
  1058   0.109503E+04  -0.834334E+02   0.819814E-06  -0.834334E+02   0.319354E+02   0.546817E-06   0.819814E-06   0.546817E-06   0.607952E-08
  1059   0.109835E+04  -0.837775E+02   0.800074E-06  -0.837775E+02   0.316265E+02   0.542886E-06   0.800074E-06   0.542886E-06   0.607009E-08
  1060   0.110170E+04  -0.840948E+02   0.780654E-06  -0.840948E+02   0.313164E+02   0.538915E-06   0.780654E-06   0.538915E-06   0.606067E-08
  1061   0.110507E+04  -0.843869E+02   0.761551E-06  -0.843869E+02   0.310052E+02   0.534906E-06   0.761551E-06   0.534906E-06   0.605128E-08
  1062   0.110846E+04  -0.846515E+02   0.742767E-06  -0.846515E+02   0.306931E+02   0.530859E-06   0.742767E-06   0.530859E-06   0.604191E-08
  1063   0.111187E+04  -0.848909E+02   0.724299E-06  -0.848909E+02   0.303800E+02   0.526774E-06   0.724299E-06   0.526774E-06   0.603257E-08
  1064   0.111530E+04  -0.851035E+02   0.706148E-06  -0.851035E+02   0.300662E+02   0.522652E-06   0.706148E-06   0.522652E-06   0.602324E-08
  1065   0.111873E+04  -0.852894E+02   0.688312E-06  -0.852894E+02   0.297517E+02   0.518494E-06   0.688312E-06   0.518494E-06   0.601394E-08
  1066   0.112217E+04  -0.854500E+02   0.670792E-06  -0.854500E+02   0.294366E+02   0.514301E-06   0.670792E-06   0.514301E-06   0.600466E-08
  1067   0.112562E+04  -0.855839E+02   0.653585E-06  -0.855839E+02   0.291211E+02   0.510072E-06   0.653585E-06   0.510072E-06   0.599540E-08
  1068   0.112907E+04  -0.856918E+02   0.636691E-06  -0.856918E+02   0.288053E+02   0.505808E-06   0.636691E-06   0.505808E-06   0.598617E-08
  1069   0.113253E+04  -0.857738E+02   0.620110E-06  -0.857738E+02   0.284893E+02   0.501511E-06   0.620110E-06   0.501511E-06   0.597695E-08
  1070   0.113599E+04  -0.858297E+02   0.603841E-06  -0.858297E+02   0.281732E+02   0.497180E-06   0.603841E-06   0.497180E-06   0.596776E-08
  1071   0.113944E+04  -0.858596E+02   0.587883E-06  -0.858596E+02   0.278571E+02   0.492816E-06   0.587883E-06   0.492816E-06   0.595859E-08
  1072   0.114289E+04  -0.858643E+02   0.572236E-06  -0.858643E+02   0.275413E+02   0.488420E-06   0.572236E-06   0.488420E-06   0.594944E-08
  1073   0.114632E+04  -0.858430E+02   0.556898E-06  -0.858430E+02   0.272257E+02   0.483992E-06   0.556898E-06   0.483992E-06   0.594031E-08
  1074   0.114975E+04  -0.857965E+02   0.541869E-06  -0.857965E+02   0.269106E+02   0.479533E-06   0.541869E-06   0.479533E-06   0.593121E-08
  1075   0.115317E+04  -0.857247E+02   0.527148E-06  -0.857247E+02   0.265961E+02   0.475043E-06   0.527148E-06   0.475043E-06   0.592212E-08
  1076   0.115657E+04  -0.856269E+02   0.512735E-06  -0.856269E+02   0.262823E+02   0.470524E-06   0.512735E-06   0.470524E-06   0.591306E-08
  1077   0.115996E+04  -0.855047E+02   0.498629E-06  -0.855047E+02   0.259693E+02   0.465975E-06   0.498629E-06   0.465975E-06   0.590401E-08
  1078   0.116333E+04  -0.853579E+02   0.484829E-06  -0.853579E+02   0.256572E+02   0.461397E-06   0.484829E-06   0.461397E-06   0.589499E-08
  1079   0.116666E+04  -0.851859E+02   0.471334E-06  -0.851859E+02   0.253461E+02   0.456791E-06   0.471334E-06   0.456791E-06   0.588599E-08
  1080   0.116999E+04  -0.849902E+02   0.458143E-06  -0.849902E+02   0.250362E+02   0.452158E-06   0.458143E-06   0.452158E-06   0.587701E-08
  1081   0.117328E+04  -0.847692E+02   0.445257E-06  -0.847692E+02   0.247276E+02   0.447497E-06   0.445257E-06   0.447497E-06   0.586806E-08
  1082   0.117655E+04  -0.845245E+02   0.432674E-06  -0.845245E+02   0.244204E+02   0.442810E-06   0.432674E-06   0.442810E-06   0.585912E-08
  1083   0.117978E+04  -0.842560E+02   0.420393E-06  -0.842560E+02   0.241146E+02   0.438097E-06   0.420393E-06   0.438097E-06   0.585020E-08
  1084   0.118298E+04  -0.839637E+02   0.408414E-06  -0.839637E+02   0.238105E+02   0.433358E-06   0.408414E-06   0.433358E-06   0.584131E-08
  1085   0.118615E+04  -0.836485E+02   0.396735E-06  -0.836485E+02   0.235081E+02   0.428595E-06   0.396735E-06   0.428595E-06   0.583243E-08
  1086   0.118928E+04  -0.833088E+02   0.385357E-06  -0.833088E+02   0.232075E+02   0.423807E-06   0.385357E-06   0.423807E-06   0.582358E-08
  1087   0.119237E+04  -0.829468E+02   0.374279E-06  -0.829468E+02   0.229088E+02   0.418996E-06   0.374279E-06   0.418996E-06   0.581475E-08
  1088   0.119542E+04  -0.825618E+02   0.363499E-06  -0.825618E+02   0.226121E+02   0.414162E-06   0.363499E-06   0.414162E-06   0.580594E-08
  1089   0.119842E+04  -0.821538E+02   0.353018E-06  -0.821538E+02   0.223176E+02   0.409306E-06   0.353018E-06   0.409306E-06   0.579714E-08
  1090   0.120138E+04  -0.817236E+02   0.342834E-06  -0.817236E+02   0.220253E+02   0.404427E-06   0.342834E-06   0.404427E-06   0.578837E-08
  1091   0.120430E+04  -0.812718E+02   0.332946E-06  -0.812718E+02   0.217353E+02   0.399528E-06   0.332946E-06   0.399528E-06   0.577962E-08
  1092   0.120716E+04  -0.807978E+02   0.323354E-06  -0.807978E+02   0.214478E+02   0.394607E-06   0.323354E-06   0.394607E-06   0.577089E-08
  1093   0.120997E+04  -0.803031E+02   0.314057E-06  -0.803031E+02   0.211629E+02   0.389667E-06   0.314057E-06   0.389667E-06   0.576218E-08
  1094   0.121272E+04  -0.797868E+02   0.305055E-06  -0.797868E+02   0.208807E+02   0.384706E-06   0.305055E-06   0.384706E-06   0.575350E-08
  1095   0.121543E+04  -0.792505E+02   0.296347E-06  -0.792505E+02   0.206013E+02   0.379727E-06   0.296347E-06   0.379727E-06   0.574483E-08
  1096   0.121807E+04  -0.786934E+02   0.287931E-06  -0.786934E+02   0.203248E+02   0.374730E-06   0.287931E-06   0.374730E-06   0.573618E-08
  1097   0.122067E+04  -0.781163E+02   0.279808E-06  -0.781163E+02   0.200514E+02   0.369714E-06   0.279808E-06   0.369714E-06   0.572755E-08
  1098   0.122320E+04  -0.775199E+02   0.271976E-06  -0.775199E+02   0.197810E+02   0.364682E-06   0.271976E-06   0.364682E-06   0.571894E-08
  1099   0.122567E+04  -0.769043E+02   0.264435E-06  -0.769043E+02   0.195139E+02   0.359632E-06   0.264435E-06   0.359632E-06   0.571035E-08
  1100   0.122808E+04  -0.762701E+02   0.257184E-06  -0.762701E+02   0.192500E+02   0.354567E-06   0.257184E-06   0.354567E-06   0.570178E-08
  1101   0.123042E+04  -0.756167E+02   0.250222E-06  -0.756167E+02   0.189895E+02   0.349486E-06   0.250222E-06   0.349486E-06   0.569323E-08
  1102   0.123270E+04  -0.749454E+02   0.243548E-06  -0.749454E+02   0.187324E+02   0.344390E-06   0.243548E-06   0.344390E-06   0.568471E-08
  1103   0.123491E+04  -0.742556E+02   0.237159E-06  -0.742556E+02   0.184789E+02   0.339280E-06   0.237159E-06   0.339280E-06   0.567620E-08
  1104   0.123706E+04  -0.735487E+02   0.231054E-06  -0.735487E+02   0.182290E+02   0.334155E-06   0.231054E-06   0.334155E-06   0.566771E-08
  1105   0.123913E+04  -0.728247E+02   0.225231E-06  -0.728247E+02   0.179828E+02   0.329018E-06   0.225231E-06   0.329018E-06   0.565924E-08
  1106   0.124113E+04  -0.720839E+02   0.219687E-06  -0.720839E+02   0.177403E+02   0.323868E-06   0.219687E-06   0.323868E-06   0.565079E-08
  1107   0.124306E+04  -0.713268E+02   0.214422E-06  -0.713268E+02   0.175018E+02   0.318706E-06   0.214422E-06   0.318706E-06   0.564236E-08
  1108   0.124491E+04  -0.705539E+02   0.209433E-06  -0.705539E+02   0.172671E+02   0.313532E-06   0.209433E-06   0.313532E-06   0.563395E-08
  1109   0.124669E+04  -0.697655E+02   0.204717E-06  -0.697655E+02   0.170366E+02   0.308348E-06   0.204717E-06   0.308348E-06   0.562556E-08
  1110   0.124839E+04  -0.689621E+02   0.200275E-06  -0.689621E+02   0.168102E+02   0.303153E-06   0.200275E-06   0.303153E-06   0.561718E-08
  1111   0.125001E+04  -0.681440E+02   0.196103E-06  -0.681440E+02   0.165879E+02   0.297948E-06   0.196103E-06   0.297948E-06   0.560883E-08
  1112   0.125156E+04  -0.673117E+02   0.192199E-06  -0.673117E+02   0.163699E+02   0.292734E-06   0.192199E-06   0.292734E-06   0.560050E-08
  1113   0.125303E+04  -0.664657E+02   0.188562E-06  -0.664657E+02   0.161562E+02   0.287512E-06   0.188562E-06   0.287512E-06   0.559218E-08
  1114   0.125442E+04  -0.656063E+02   0.185190E-06  -0.656063E+02   0.159470E+02   0.282281E-06   0.185190E-06   0.282281E-06   0.558389E-08
  1115   0.125572E+04  -0.647340E+02   0.182080E-06  -0.647340E+02   0.157422E+02   0.277043E-06   0.182080E-06   0.277043E-06   0.557561E-08
  1116   0.125695E+04  -0.638494E+02   0.179232E-06  -0.638494E+02   0.155420E+02   0.271798E-06   0.179232E-06   0.271798E-06   0.556736E-08
  1117   0.125809E+04  -0.629527E+02   0.176643E-06  -0.629527E+02   0.153463E+02   0.266546E-06   0.176643E-06   0.266546E-06   0.555912E-08
  1118   0.125915E+04  -0.620444E+02   0.174311E-06  -0.620444E+02   0.151553E+02   0.261289E-06   0.174311E-06   0.261289E-06   0.555090E-08
  1119   0.126012E+04  -0.611250E+02   0.172235E-06  -0.611250E+02   0.149690E+02   0.256027E-06   0.172235E-06   0.256027E-06   0.554270E-08
  1120   0.126100E+04  -0.601949E+02   0.170412E-06  -0.601949E+02   0.147874E+02   0.250759E-06   0.170412E-06   0.250759E-06   0.553452E-08
  1121   0.126181E+04  -0.592545E+02   0.168841E-06  -0.592545E+02   0.146108E+02   0.245488E-06   0.168841E-06   0.245488E-06   0.552636E-08
  1122   0.126252E+04  -0.583043E+02   0.167519E-06  -0.583043E+02   0.144389E+02   0.240214E-06   0.167519E-06   0.240214E-06   0.551822E-08
  1123   0.126314E+04  -0.573446E+02   0.166445E-06  -0.573446E+02   0.142720E+02   0.234936E-06   0.166445E-06   0.234936E-06   0.551010E-08
  1124   0.126368E+04  -0.563761E+02   0.165617E-06  -0.563761E+02   0.141101E+02   0.229656E-06   0.165617E-06   0.229656E-06   0.550199E-08
  1125   0.126412E+04  -0.553990E+02   0.165033E-06  -0.553990E+02   0.139532E+02   0.224374E-06   0.165033E-06   0.224374E-06   0.549390E-08
  1126   0.126447E+04  -0.544140E+02   0.164692E-06  -0.544140E+02   0.138014E+02   0.219091E-06   0.164692E-06   0.219091E-06   0.548584E-08
  1127   0.126474E+04  -0.534216E+02   0.164590E-06  -0.534216E+02   0.136546E+02   0.213808E-06   0.164590E-06   0.213808E-06   0.547779E-08
  1128   0.126491E+04  -0.524223E+02   0.164727E-06  -0.524223E+02   0.135131E+02   0.208524E-06   0.164727E-06   0.208524E-06   0.546976E-08
  1129   0.126499E+04  -0.514164E+02   0.165101E-06  -0.514164E+02   0.133768E+02   0.203241E-06   0.165101E-06   0.203241E-06   0.546174E-08
  1130   0.126499E+04  -0.504047E+02   0.165709E-06  -0.504047E+02   0.132456E+02   0.197959E-06   0.165709E-06   0.197959E-06   0.545375E-08
  1131   0.126489E+04  -0.493876E+02   0.166550E-06  -0.493876E+02   0.131198E+02   0.192679E-06   0.166550E-06   0.192679E-06   0.544577E-08
  1132   0.126471E+04  -0.483655E+02   0.167621E-06  -0.483655E+02   0.129993E+02   0.187400E-06   0.167621E-06   0.187400E-06   0.543782E-08
  1133   0.126443E+04  -0.473389E+02   0.168922E-06  -0.473389E+02   0.128841E+02   0.182125E-06   0.168922E-06   0.182125E-06   0.542988E-08
  1134   0.126406E+04  -0.463082E+02   0.170450E-06  -0.463082E+02   0.127743E+02   0.176853E-06   0.170450E-06   0.176853E-06   0.542196E-08
  1135   0.126360E+04  -0.452740E+02   0.172203E-06  -0.452740E+02   0.126698E+02   0.171585E-06   0.172203E-06   0.171585E-06   0.541405E-08
  1136   0.126305E+04  -0.442365E+02   0.174179E-06  -0.442365E+02   0.125708E+02   0.166322E-06   0.174179E-06   0.166322E-06   0.540617E-08
  1137   0.126240E+04  -0.431963E+02   0.176376E-06  -0.431963E+02   0.124771E+02   0.161063E-06   0.176376E-06   0.161063E-06   0.539830E-08
  1138   0.126166E+04  -0.421539E+02   0.178793E-06  -0.421539E+02   0.123889E+02   0.155810E-06   0.178793E-06   0.155810E-06   0.539045E-08
  1139   0.126084E+04  -0.411097E+02   0.181428E-06  -0.411097E+02   0.123061E+02   0.150564E-06   0.181428E-06   0.150564E-06   0.538262E-08
  1140   0.125991E+04  -0.400642E+02   0.184279E-06  -0.400642E+02   0.122288E+02   0.145324E-06   0.184279E-06   0.145324E-06   0.537481E-08
  1141   0.125889E+04  -0.390179E+02   0.187343E-06  -0.390179E+02   0.121570E+02   0.140092E-06   0.187343E-06   0.140092E-06   0.536702E-08
  1142   0.125779E+04  -0.379712E+02   0.190619E-06  -0.379712E+02   0.120906E+02   0.134867E-06   0.190619E-06   0.134867E-06   0.535924E-08
  1143   0.125659E+04  -0.369247E+02   0.194106E-06  -0.369247E+02   0.120297E+02   0.129652E-06   0.194106E-06   0.129652E-06   0.535148E-08
  1144   0.125530E+04  -0.358788E+02   0.197800E-06  -0.358788E+02   0.119743E+02   0.124445E-06   0.197800E-06   0.124445E-06   0.534374E-08
  1145   0.125391E+04  -0.348340E+02   0.201701E-06  -0.348340E+02   0.119244E+02   0.119248E-06   0.201701E-06   0.119248E-06   0.533601E-08
  1146   0.125244E+04  -0.337908E+02   0.205807E-06  -0.337908E+02   0.118800E+02   0.114061E-06   0.205807E-06   0.114061E-06   0.532831E-08
  1147   0.125088E+04  -0.327495E+02   0.210115E-06  -0.327495E+02   0.118411E+02   0.108885E-06   0.210115E-06   0.108885E-06   0.532062E-08
  1148   0.124923E+04  -0.317107E+02   0.214623E-06  -0.317107E+02   0.118077E+02   0.103720E-06   0.214623E-06   0.103720E-06   0.531295E-08
  1149   0.124748E+04  -0.306748E+02   0.219331E-06  -0.306748E+02   0.117797E+02   0.985678E-07   0.219331E-06   0.985678E-07   0.530529E-08
  1150   0.124564E+04  -0.296422E+02   0.224235E-06  -0.296422E+02   0.117571E+02   0.934277E-07   0.224235E-06   0.934277E-07   0.529765E-08
  1151   0.124372E+04  -0.286133E+02   0.229334E-06  -0.286133E+02   0.117401E+02   0.883007E-07   0.229334E-06   0.883007E-07   0.529003E-08
  1152   0.124171E+04  -0.275887E+02   0.234626E-06  -0.275887E+02   0.117284E+02   0.831872E-07   0.234626E-06   0.831872E-07   0.528243E-08
  1153   0.123961E+04  -0.265688E+02   0.240109E-06  -0.265688E+02   0.117221E+02   0.780875E-07   0.240109E-06   0.780875E-07   0.527485E-08
  1154   0.123742E+04  -0.255539E+02   0.245780E-06  -0.255539E+02   0.117213E+02   0.730022E-07   0.245780E-06   0.730022E-07   0.526728E-08
  1155   0.123515E+04  -0.245446E+02   0.251639E-06  -0.245446E+02   0.117258E+02   0.679315E-07   0.251639E-06   0.679315E-07   0.525973E-08
  1156   0.123279E+04  -0.235413E+02   0.257681E-06  -0.235413E+02   0.117356E+02   0.628758E-07   0.257681E-06   0.628758E-07   0.525219E-08
  1157   0.123034E+04  -0.225444E+02   0.263906E-06  -0.225444E+02   0.117508E+02   0.578356E-07   0.263906E-06   0.578356E-07   0.524468E-08
  1158   0.122782E+04  -0.215544E+02   0.270312E-06  -0.215544E+02   0.117712E+02   0.528112E-07   0.270312E-06   0.528112E-07   0.523718E-08
  1159   0.122521E+04  -0.205717E+02   0.276896E-06  -0.205717E+02   0.117969E+02   0.478030E-07   0.276896E-06   0.478030E-07   0.522970E-08
  1160   0.122253E+04  -0.195967E+02   0.283655E-06  -0.195967E+02   0.118278E+02   0.428115E-07   0.283655E-06   0.428115E-07   0.522223E-08
  1161   0.121976E+04  -0.186298E+02   0.290589E-06  -0.186298E+02   0.118640E+02   0.378369E-07   0.290589E-06   0.378369E-07   0.521478E-08
  1162   0.121691E+04  -0.176714E+02   0.297695E-06  -0.176714E+02   0.119052E+02   0.328797E-07   0.297695E-06   0.328797E-07   0.520735E-08
  1163   0.121399E+04  -0.167218E+02   0.304971E-06  -0.167218E+02   0.119516E+02   0.279402E-07   0.304971E-06   0.279402E-07   0.519993E-08
  1164   0.121099E+04  -0.157815E+02   0.312414E-06  -0.157815E+02   0.120031E+02   0.230189E-07   0.312414E-06   0.230189E-07   0.519253E-08
  1165   0.120791E+04  -0.148509E+02   0.320023E-06  -0.148509E+02   0.120596E+02   0.181162E-07   0.320023E-06   0.181162E-07   0.518515E-08
  1166   0.120476E+04  -0.139302E+02   0.327796E-06  -0.139302E+02   0.121211E+02   0.132324E-07   0.327796E-06   0.132324E-07   0.517779E-08
  1167   0.120153E+04  -0.130200E+02   0.335730E-06  -0.130200E+02   0.121875E+02   0.836788E-08   0.335730E-06   0.836788E-08   0.517044E-08
  1168   0.119823E+04  -0.121205E+02   0.343824E-06  -0.121205E+02   0.122588E+02   0.352308E-08   0.343824E-06   0.352308E-08   0.516310E-08
  1169   0.119485E+04  -0.112321E+02   0.352075E-06  -0.112321E+02   0.123350E+02  -0.130162E-08   0.352075E-06  -0.130162E-08   0.515579E-08
  1170   0.119141E+04  -0.103552E+02   0.360481E-06  -0.103552E+02   0.124159E+02  -0.610584E-08   0.360481E-06  -0.610584E-08   0.514849E-08
  1171   0.118790E+04  -0.949019E+01   0.369040E-06  -0.949019E+01   0.125016E+02  -0.108892E-07   0.369040E-06  -0.108892E-07   0.514120E-08
  1172   0.118432E+04  -0.863730E+01   0.377750E-06  -0.863730E+01   0.125919E+02  -0.156513E-07   0.377750E-06  -0.156513E-07   0.513394E-08
  1173   0.118068E+04  -0.779699E+01   0.386609E-06  -0.779699E+01   0.126869E+02  -0.203917E-07   0.386609E-06  -0.203917E-07   0.512669E-08
  1174   0.117697E+04  -0.696959E+01   0.395615E-06  -0.696959E+01   0.127865E+02  -0.251101E-07   0.395615E-06  -0.251101E-07   0.511945E-08
  1175   0.117319E+04  -0.615535E+01   0.404765E-06  -0.615535E+01   0.128905E+02  -0.298061E-07   0.404765E-06  -0.298061E-07   0.511223E-08
  1176   0.116935E+04  -0.535461E+01   0.414058E-06  -0.535461E+01   0.129990E+02  -0.344793E-07   0.414058E-06  -0.344793E-07   0.510503E-08
  1177   0.116545E+04  -0.456766E+01   0.423492E-06  -0.456766E+01   0.131119E+02  -0.391293E-07   0.423492E-06  -0.391293E-07   0.509785E-08
  1178   0.116149E+04  -0.379483E+01   0.433064E-06  -0.379483E+01   0.132291E+02  -0.437557E-07   0.433064E-06  -0.437557E-07   0.509068E-08
  1179   0.115747E+04  -0.303640E+01   0.442773E-06  -0.303640E+01   0.133505E+02  -0.483582E-07   0.442773E-06  -0.483582E-07   0.508352E-08
  1180   0.115340E+04  -0.229270E+01   0.452616E-06  -0.229270E+01   0.134761E+02  -0.529362E-07   0.452616E-06  -0.529362E-07   0.507638E-08
  1181   0.114927E+04  -0.156401E+01   0.462590E-06  -0.156401E+01   0.136058E+02  -0.574896E-07   0.462590E-06  -0.574896E-07   0.506926E-08
  1182   0.114508E+04  -0.850572E+00   0.472695E-06  -0.850572E+00   0.137395E+02  -0.620177E-07   0.472695E-06  -0.620177E-07   0.506215E-08
  1183   0.114084E+04  -0.152691E+00   0.482928E-06  -0.152691E+00   0.138772E+02  -0.665204E-07   0.482928E-06  -0.665204E-07   0.505506E-08
  1184   0.113655E+04   0.529373E+00   0.493287E-06   0.529373E+00   0.140188E+02  -0.709972E-07   0.493287E-06  -0.709972E-07   0.504799E-08
  1185   0.113221E+04   0.119534E+01   0.503770E-06   0.119534E+01   0.141641E+02  -0.754476E-07   0.503770E-06  -0.754476E-07   0.504093E-08
  1186   0.112782E+04   0.184494E+01   0.514374E-06   0.184494E+01   0.143132E+02  -0.798714E-07   0.514374E-06  -0.798714E-07   0.503389E-08
  1187   0.112338E+04   0.247792E+01   0.525098E-06   0.247792E+01   0.144660E+02  -0.842681E-07   0.525098E-06  -0.842681E-07   0.502686E-08
  1188   0.111890E+04   0.309406E+01   0.535939E-06   0.309406E+01   0.146222E+02  -0.886373E-07   0.535939E-06  -0.886373E-07   0.501985E-08
  1189   0.111437E+04   0.369316E+01   0.546896E-06   0.369316E+01   0.147820E+02  -0.929787E-07   0.546896E-06  -0.929787E-07   0.501285E-08
  1190   0.110979E+04   0.427501E+01   0.557966E-06   0.427501E+01   0.149452E+02  -0.972918E-07   0.557966E-06  -0.972918E-07   0.500587E-08
  1191   0.110518E+04   0.483942E+01   0.569147E-06   0.483942E+01   0.151116E+02  -0.101576E-06   0.569147E-06  -0.101576E-06   0.499890E-08
  1192   0.110053E+04   0.538619E+01   0.580437E-06   0.538619E+01   0.152813E+02  -0.105832E-06   0.580437E-06  -0.105832E-06   0.499195E-08
  1193   0.109584E+04   0.591512E+01   0.591834E-06   0.591512E+01   0.154542E+02  -0.110058E-06   0.591834E-06  -0.110058E-06   0.498502E-08
  1194   0.109112E+04   0.642601E+01   0.603336E-06   0.642601E+01   0.156300E+02  -0.114254E-06   0.603336E-06  -0.114254E-06   0.497810E-08
  1195   0.108637E+04   0.691871E+01   0.614941E-06   0.691871E+01   0.158088E+02  -0.118420E-06   0.614941E-06  -0.118420E-06   0.497119E-08
  1196   0.108157E+04   0.739306E+01   0.626647E-06   0.739306E+01   0.159905E+02  -0.122556E-06   0.626647E-06  -0.122556E-06   0.496430E-08
  1197   0.107675E+04   0.784892E+01   0.638452E-06   0.784892E+01   0.161750E+02  -0.126660E-06   0.638452E-06  -0.126660E-06   0.495743E-08
  1198   0.107190E+04   0.828615E+01   0.650353E-06   0.828615E+01   0.163621E+02  -0.130734E-06   0.650353E-06  -0.130734E-06   0.495057E-08
  1199   0.106703E+04   0.870450E+01   0.662348E-06   0.870450E+01   0.165519E+02  -0.134775E-06   0.662348E-06  -0.134775E-06   0.494372E-08
  1200   0.106213E+04   0.910399E+01   0.674436E-06   0.910399E+01   0.167440E+02  -0.138785E-06   0.674436E-06  -0.138785E-06   0.493689E-08
  1201   0.105720E+04   0.948432E+01   0.686614E-06   0.948432E+01   0.169387E+02  -0.142761E-06   0.686614E-06  -0.142761E-06   0.493008E-08
  1202   0.105225E+04   0.984555E+01   0.698879E-06   0.984555E+01   0.171356E+02  -0.146706E-06   0.698879E-06  -0.146706E-06   0.492328E-08
  1203   0.104728E+04   0.101875E+02   0.711231E-06   0.101875E+02   0.173347E+02  -0.150617E-06   0.711231E-06  -0.150617E-06   0.491650E-08
  1204   0.104229E+04   0.105101E+02   0.723666E-06   0.105101E+02   0.175360E+02  -0.154495E-06   0.723666E-06  -0.154495E-06   0.490973E-08
  1205   0.103729E+04   0.108133E+02   0.736182E-06   0.108133E+02   0.177392E+02  -0.158340E-06   0.736182E-06  -0.158340E-06   0.490297E-08
  1206   0.103226E+04   0.110970E+02   0.748776E-06   0.110970E+02   0.179444E+02  -0.162152E-06   0.748776E-06  -0.162152E-06   0.489623E-08
  1207   0.102723E+04   0.113611E+02   0.761448E-06   0.113611E+02   0.181513E+02  -0.165930E-06   0.761448E-06  -0.165930E-06   0.488951E-08
  1208   0.102218E+04   0.116056E+02   0.774193E-06   0.116056E+02   0.183601E+02  -0.169674E-06   0.774193E-06  -0.169674E-06   0.488279E-08
  1209   0.101713E+04   0.118305E+02   0.787010E-06   0.118305E+02   0.185704E+02  -0.173384E-06   0.787010E-06  -0.173384E-06   0.487610E-08
  1210   0.101206E+04   0.120356E+02   0.799896E-06   0.120356E+02   0.187822E+02  -0.177059E-06   0.799896E-06  -0.177059E-06   0.486942E-08
  1211   0.100699E+04   0.122212E+02   0.812850E-06   0.122212E+02   0.189955E+02  -0.180701E-06   0.812850E-06  -0.180701E-06   0.486275E-08
  1212   0.100192E+04   0.123870E+02   0.825869E-06   0.123870E+02   0.192101E+02  -0.184308E-06   0.825869E-06  -0.184308E-06   0.485610E-08
  1213   0.996835E+03   0.125331E+02   0.838950E-06   0.125331E+02   0.194259E+02  -0.187880E-06   0.838950E-06  -0.187880E-06   0.484946E-08
  1214   0.991754E+03   0.126595E+02   0.852092E-06   0.126595E+02   0.196429E+02  -0.191417E-06   0.852092E-06  -0.191417E-06   0.484283E-08
  1215   0.986681E+03   0.127661E+02   0.865291E-06   0.127661E+02   0.198609E+02  -0.194918E-06   0.865291E-06  -0.194918E-06   0.483623E-08
  1216   0.981600E+03   0.128531E+02   0.878546E-06   0.128531E+02   0.200798E+02  -0.198385E-06   0.878546E-06  -0.198385E-06   0.482963E-08
  1217   0.976527E+03   0.129203E+02   0.891855E-06   0.129203E+02   0.202996E+02  -0.201816E-06   0.891855E-06  -0.201816E-06   0.482305E-08
  1218   0.971461E+03   0.129679E+02   0.905215E-06   0.129679E+02   0.205200E+02  -0.205211E-06   0.905215E-06  -0.205211E-06   0.481648E-08
  1219   0.966403E+03   0.129957E+02   0.918623E-06   0.129957E+02   0.207411E+02  -0.208570E-06   0.918623E-06  -0.208570E-06   0.480993E-08
  1220   0.961345E+03   0.130040E+02   0.932078E-06   0.130040E+02   0.209627E+02  -0.211893E-06   0.932078E-06  -0.211893E-06   0.480339E-08
  1221   0.956309E+03   0.129926E+02   0.945577E-06   0.129926E+02   0.211846E+02  -0.215180E-06   0.945577E-06  -0.215180E-06   0.479687E-08
  1222   0.951274E+03   0.129617E+02   0.959118E-06   0.129617E+02   0.214069E+02  -0.218430E-06   0.959118E-06  -0.218430E-06   0.479036E-08
  1223   0.946261E+03   0.129112E+02   0.972699E-06   0.129112E+02   0.216293E+02  -0.221644E-06   0.972699E-06  -0.221644E-06   0.478386E-08
  1224   0.941255E+03   0.128414E+02   0.986317E-06   0.128414E+02   0.218519E+02  -0.224820E-06   0.986317E-06  -0.224820E-06   0.477738E-08
  1225   0.936272E+03   0.127524E+02   0.999970E-06   0.127524E+02   0.220745E+02  -0.227960E-06   0.999970E-06  -0.227960E-06   0.477091E-08
  1226   0.931304E+03   0.126443E+02   0.101365E-05   0.126443E+02   0.222970E+02  -0.231062E-06   0.101365E-05  -0.231062E-06   0.476446E-08
  1227   0.926358E+03   0.125170E+02   0.102737E-05   0.125170E+02   0.225193E+02  -0.234127E-06   0.102737E-05  -0.234127E-06   0.475802E-08
  1228   0.921435E+03   0.123710E+02   0.104111E-05   0.123710E+02   0.227413E+02  -0.237154E-06   0.104111E-05  -0.237154E-06   0.475159E-08
