#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.128519E+04   0.151969E+01   0.901430E-03   0.151969E+01   0.724868E-01  -0.224052E-06   0.901430E-03  -0.224052E-06   0.137207E-06
    44   0.130412E+04   0.141767E+01   0.882787E-03   0.141767E+01   0.782027E-01  -0.249964E-06   0.882787E-03  -0.249964E-06   0.136832E-06
    45   0.132328E+04   0.130527E+01   0.864631E-03   0.130527E+01   0.842186E-01  -0.297977E-06   0.864631E-03  -0.297977E-06   0.136431E-06
    46   0.134264E+04   0.118245E+01   0.846864E-03   0.118245E+01   0.905399E-01  -0.361317E-06   0.846864E-03  -0.361317E-06   0.136006E-06
    47   0.136217E+04   0.104827E+01   0.829500E-03   0.104827E+01   0.971613E-01  -0.431674E-06   0.829500E-03  -0.431674E-06   0.135559E-06
    48   0.138186E+04   0.901558E+00   0.812576E-03   0.901558E+00   0.104068E+00  -0.500353E-06   0.812576E-03  -0.500353E-06   0.135090E-06
    49   0.140170E+04   0.741202E+00   0.796131E-03   0.741202E+00   0.111244E+00  -0.558660E-06   0.796131E-03  -0.558660E-06   0.134601E-06
    50   0.142175E+04   0.566244E+00   0.780204E-03   0.566244E+00   0.118685E+00  -0.597900E-06   0.780204E-03  -0.597900E-06   0.134093E-06
    51   0.144208E+04   0.376173E+00   0.764828E-03   0.376173E+00   0.126391E+00  -0.612011E-06   0.764828E-03  -0.612011E-06   0.133568E-06
    52   0.146262E+04   0.172095E+00   0.750014E-03   0.172095E+00   0.134374E+00  -0.605460E-06   0.750014E-03  -0.605460E-06   0.133026E-06
    53   0.148329E+04  -0.446902E-01   0.735768E-03  -0.446902E-01   0.142648E+00  -0.585346E-06   0.735768E-03  -0.585346E-06   0.132469E-06
    54   0.150408E+04  -0.273744E+00   0.722094E-03  -0.273744E+00   0.151225E+00  -0.558770E-06   0.722094E-03  -0.558770E-06   0.131899E-06
    55   0.152495E+04  -0.514995E+00   0.708998E-03  -0.514995E+00   0.160121E+00  -0.532829E-06   0.708998E-03  -0.532829E-06   0.131317E-06
    56   0.154604E+04  -0.769059E+00   0.696467E-03  -0.769059E+00   0.169339E+00  -0.513787E-06   0.696467E-03  -0.513787E-06   0.130724E-06
    57   0.156744E+04  -0.103673E+01   0.684414E-03  -0.103673E+01   0.178869E+00  -0.504558E-06   0.684414E-03  -0.504558E-06   0.130120E-06
    58   0.158912E+04  -0.131816E+01   0.672734E-03  -0.131816E+01   0.188698E+00  -0.507218E-06   0.672734E-03  -0.507218E-06   0.129507E-06
    59   0.161102E+04  -0.161322E+01   0.661320E-03  -0.161322E+01   0.198815E+00  -0.523845E-06   0.661320E-03  -0.523845E-06   0.128885E-06
    60   0.163313E+04  -0.192136E+01   0.650067E-03  -0.192136E+01   0.209200E+00  -0.556515E-06   0.650067E-03  -0.556515E-06   0.128255E-06
    61   0.165547E+04  -0.224211E+01   0.638899E-03  -0.224211E+01   0.219839E+00  -0.605534E-06   0.638899E-03  -0.605534E-06   0.127617E-06
    62   0.167801E+04  -0.257563E+01   0.627860E-03  -0.257563E+01   0.230734E+00  -0.664122E-06   0.627860E-03  -0.664122E-06   0.126973E-06
    63   0.170075E+04  -0.292226E+01   0.617022E-03  -0.292226E+01   0.241893E+00  -0.723731E-06   0.617022E-03  -0.723731E-06   0.126323E-06
    64   0.172366E+04  -0.328232E+01   0.606458E-03  -0.328232E+01   0.253322E+00  -0.775809E-06   0.606458E-03  -0.775809E-06   0.125666E-06
    65   0.174674E+04  -0.365620E+01   0.596241E-03  -0.365620E+01   0.265031E+00  -0.811807E-06   0.596241E-03  -0.811807E-06   0.125005E-06
    66   0.177001E+04  -0.404426E+01   0.586427E-03  -0.404426E+01   0.277020E+00  -0.825604E-06   0.586427E-03  -0.825604E-06   0.124340E-06
    67   0.179347E+04  -0.444585E+01   0.576994E-03  -0.444585E+01   0.289278E+00  -0.820803E-06   0.576994E-03  -0.820803E-06   0.123670E-06
    68   0.181712E+04  -0.486009E+01   0.567904E-03  -0.486009E+01   0.301791E+00  -0.803439E-06   0.567904E-03  -0.803439E-06   0.122997E-06
    69   0.184096E+04  -0.528610E+01   0.559120E-03  -0.528610E+01   0.314545E+00  -0.779544E-06   0.559120E-03  -0.779544E-06   0.122322E-06
    70   0.186498E+04  -0.572323E+01   0.550601E-03  -0.572323E+01   0.327528E+00  -0.755151E-06   0.550601E-03  -0.755151E-06   0.121644E-06
    71   0.188918E+04  -0.617114E+01   0.542314E-03  -0.617114E+01   0.340730E+00  -0.735501E-06   0.542314E-03  -0.735501E-06   0.120965E-06
